City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Pleasanton,Texas,10703,1156,San Antonio-New Braunfels,2590732,97,65,32,29,68,222,0,68.1,56.4,N/A,24,74,33,20.33%,$52398,14.5%,N/A,N/A,$250000,1602,$156,34,54.70%,7%,37%,43%,71,30 mins,3.80%,N/A,16.30%,Atascosa County,34.00%,63.00%,0.6%,1.6%,43.0%,53.8%,3.9%,Central Standard Time,794,6.1,40.50%,43,N/A,41,17.1%,38.82,25,1,26,N/A,N/A,TX-58280
Poteet,Texas,3462,1955,San Antonio-New Braunfels,2590732,97,65,32,29,68,224,0,68,56.2,8,14,55,35,9.28%,$37634,19%,N/A,N/A,$265000,1606,$165,37,50.50%,6%,38%,43%,73,24 mins,3.80%,N/A,3.10%,Atascosa County,34.00%,63.00%,0.0%,0.0%,7.5%,91.5%,1.5%,Central Standard Time,794,6.1,57.20%,26,N/A,N/A,13.4%,221.88,24,1,15,N/A,N/A,TX-59084
Poth,Texas,1805,681,San Antonio-New Braunfels,2590732,96,64,32,29,50,228,0,68.4,56.5,8,13,20,35,16.83%,$59348,9.9%,N/A,N/A,$265000,1743,$152,39,57.30%,10%,39%,49%,77,23 mins,3.10%,N/A,12.40%,Wilson County,24.70%,72.20%,0.0%,0.0%,37.1%,61.6%,8.3%,Central Standard Time,794,6,32.10%,23,N/A,35,14.9%,5.48,23,1,51,N/A,N/A,TX-59096
Randolph AFB,Texas,1118,271,San Antonio-New Braunfels,2590732,95,62,33,34,83,224,0,67.8,55.8,8,14,28,21,72.65%,$90357,1.8%,$969,752,$273000,N/A,N/A,78,0.00%,6%,35%,39%,69,25 mins,3.30%,N/A,6.80%,Bexar County,53.70%,40.40%,4.8%,10.7%,64.2%,14.8%,6.7%,Central Standard Time,794,6.3,28.60%,42,N/A,N/A,N/A,0.00,22,2,2,N/A,N/A,N/A
Redwood,Texas,3349,657,San Antonio-New Braunfels,2590732,96,62,34,35,83,224,0,67.6,55.6,N/A,20,41,30,7.94%,$44925,9.6%,$1458,1012,$201000,1620,$124,31,70.50%,8%,36%,42%,70,24 mins,3.20%,N/A,25.50%,Guadalupe County,31.60%,63.00%,0.0%,0.6%,10.6%,88.8%,16.2%,Central Standard Time,794,5.9,54.60%,11,N/A,29,12.6%,0.00,23,1,0,N/A,N/A,TX-61352
San Antonio,Texas,1529133,3016,San Antonio-New Braunfels,2590732,96,63,33,33,83,220,0,67.8,55.8,8,37,72,33,26.01%,$46317,14.6%,$1151,857,$278400,1868,$149,36,49.30%,8%,43%,43%,57,24 mins,3.30%,N/A,13.30%,Bexar County,53.70%,40.40%,2.7%,6.5%,25.1%,64.0%,14.3%,Central Standard Time,794,6.3,54.90%,35,36,45,17.7%,21.89,19,2,2,N/A,N/A,TX-65000
Santa Clara,Texas,766,378,San Antonio-New Braunfels,2590732,95,62,33,34,77,225,0,67.6,55.6,N/A,12,22,42,31.26%,$81875,9%,N/A,N/A,$273300,N/A,N/A,27,81.80%,7%,36%,42%,71,26 mins,3.20%,N/A,-4.60%,Guadalupe County,31.60%,63.00%,0.6%,0.0%,78.6%,20.0%,2.1%,Central Standard Time,794,5.9,29.60%,0,N/A,15,14.9%,0.00,22,1,1,N/A,N/A,TX-65690
Scenic Oaks,Texas,6611,739,San Antonio-New Braunfels,2590732,95,61,34,36,71,227,0,67.9,55.9,N/A,11,23,38,58.02%,$136968,6.9%,$1615,1056,$497500,2826,$176,18,84.20%,6%,29%,33%,68,29 mins,3.30%,N/A,15.80%,Bexar County,53.70%,40.40%,3.5%,4.1%,63.7%,25.4%,8.9%,Central Standard Time,794,6.3,32.00%,0,N/A,12,17.3%,0.00,16,1,1,N/A,N/A,TX-66089
Schertz,Texas,42433,1194,San Antonio-New Braunfels,2590732,95,62,33,34,83,225,0,67.7,55.7,8,12,27,37,36.63%,$72463,5%,$1129,850,$306000,2125,$144,19,71.60%,7%,34%,37%,67,28 mins,3.30%,N/A,34.40%,Guadalupe County,31.60%,63.00%,3.5%,11.2%,51.2%,29.4%,7.2%,Central Standard Time,794,5.9,42.30%,21,N/A,32,17.7%,N/A,N/A,1,N/A,N/A,N/A,TX-66128
Seguin,Texas,29458,750,San Antonio-New Braunfels,2590732,96,62,34,34,72,226,0,67.7,55.8,7,21,53,35,17.03%,$36755,13.3%,$1034,815,$323800,1927,$168,39,56.00%,7%,45%,48%,59,19 mins,3.50%,N/A,12.00%,Guadalupe County,31.60%,63.00%,1.7%,7.6%,36.0%,54.2%,7%,Central Standard Time,794,5.9,55.20%,35,N/A,47,16.2%,55.09,22,1,1,N/A,N/A,TX-66644
