City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Freeport,California,70,1400,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,265,0,51.7,46.2,N/A,31,51,56,0.0%,$46250,0.0%,N/A,N/A,$370200,N/A,N/A,38,0.0%,5%,45%,54%,55,26 mins,0.0%,1.40%,60.00%,Sacramento County,58.00%,33.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,25,4.8,100.00%,9,N/A,31,N/A,0.00,0,1,70,N/A,N/A,CA-25590,0.05,100.0%
Fruitridge Pocket,California,5771,9781,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,265,0,51.7,46.2,N/A,29,49,37,11.99%,$31188,37.36%,$998,N/A,$344000,1127,$305,62,36.14%,5%,45%,51%,18,32 mins,17.99%,1.40%,4.50%,Sacramento County,58.00%,33.80%,22.34%,20.98%,15.42%,36.96%,25.96%,Pacific Standard Time,25,5.2,61.50%,58,35,72,26.0%,0.00,0,1,47,N/A,N/A,CA-27130,0.59,44.45%
Galt,California,26235,3669,Sacramento--Roseville--Arden-Arcade,2374749,93,55,38,19,61,269,0,51.7,46.2,5,16,34,38,19.42%,$73969,8.92%,$1198,N/A,$485000,1713,$283,24,74.47%,5%,49%,58%,45,31 mins,6.71%,1.40%,9.30%,Sacramento County,58.00%,33.80%,4.25%,1.29%,46.2%,44.3%,18.69%,Pacific Standard Time,25,5.2,46.90%,31,N/A,39,21.6%,23.69,0,1,32,287,1675,CA-28112,7.15,64.09%
Georgetown,California,2969,196,Sacramento--Roseville--Arden-Arcade,2374749,90,51,39,53,70,238,13,42.9,37.5,5,17,34,56,21.93%,$77389,5.78%,$1514,N/A,$412300,1499,$275,35,84.68%,5%,44%,38%,66,29 mins,20.13%,1.70%,0.60%,El Dorado County,38.30%,51.80%,2.02%,0.27%,79.93%,16.1%,3.6%,Pacific Standard Time,25,4.8,30.70%,43,N/A,26,19.0%,72.85,0,0,67,N/A,N/A,CA-29350,15.13,43.71%
Gold River,California,7930,2981,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,20,60,265,0,51.7,46.2,4,14,23,54,69.33%,$131164,2.88%,$1766,N/A,$639000,2173,$294,27,91.08%,5%,46%,54%,41,25 mins,5.72%,1.40%,-10.50%,Sacramento County,58.00%,33.80%,23.93%,0.74%,65.98%,6.0%,19.29%,Pacific Standard Time,25,5.2,33.40%,11,N/A,35,18.7%,3.61,0,0,14,N/A,N/A,CA-30345,2.66,58.59%
Granite Bay,California,22818,1059,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,59,265,0,44.5,38.9,4,13,26,46,56.73%,$170504,3.46%,$2028,N/A,$999700,2906,$344,32,92.51%,4%,34%,37%,51,27 mins,2.54%,1.40%,-0.90%,Placer County,39.50%,51.10%,7.48%,3.16%,75.74%,9.73%,11.08%,Pacific Standard Time,25,4.8,32.40%,12,N/A,32,19.8%,3.98,0,0,15,N/A,N/A,CA-30693,21.55,60.54%
Grizzly Flats,California,1382,208,Sacramento--Roseville--Arden-Arcade,2374749,91,53,38,52,79,246,46,42.9,37.5,5,20,39,46,22.59%,$52639,8.18%,N/A,N/A,$244900,N/A,N/A,32,88.35%,6%,44%,40%,72,29 mins,12.52%,1.70%,20.30%,El Dorado County,38.30%,51.80%,0.0%,0.0%,87.41%,0.22%,1.23%,Pacific Standard Time,25,4.8,37.00%,1,N/A,1,25.6%,56.95,0,0,16,N/A,N/A,CA-31302,6.63,48.6%
Guinda,California,113,39,Sacramento--Roseville--Arden-Arcade,2374749,92,57,35,35,66,265,0,51,45.4,5,21,41,31,27.91%,$77596,47.79%,N/A,N/A,$415000,1288,$322,18,52.21%,7%,50%,46%,73,23 mins,0.0%,0.90%,34.90%,Yolo County,66.70%,25.30%,0.0%,0.0%,61.06%,0.0%,0.0%,Pacific Standard Time,25,4.8,44.20%,20,N/A,51,N/A,18.08,0,0,4717,N/A,N/A,CA-31540,2.93,11.63%
Herald,California,1049,133,Sacramento--Roseville--Arden-Arcade,2374749,92,55,37,19,61,265,0,51.7,46.2,4,16,31,59,17.91%,$71979,11.73%,N/A,N/A,$699000,2074,$337,34,87.83%,3%,47%,42%,58,35 mins,6.31%,1.40%,13.60%,Sacramento County,58.00%,33.80%,1.81%,9.15%,67.21%,17.25%,7.44%,Pacific Standard Time,25,5.2,42.60%,25,N/A,29,17.7%,63.64,0,1,16,N/A,N/A,CA-33294,7.88,44.72%
Hood,California,289,903,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,19,63,265,0,51.7,46.2,5,18,37,45,0.0%,$58571,5.19%,N/A,N/A,$454100,N/A,N/A,26,82.7%,5%,47%,54%,55,26 mins,11.11%,1.40%,78.60%,Sacramento County,58.00%,33.80%,0.0%,0.0%,6.92%,85.47%,7.61%,Pacific Standard Time,25,5.2,49.00%,15,N/A,30,28.0%,40.98,0,1,154,N/A,N/A,CA-34484,0.32,55.33%
