City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
New Ringgold,Pennsylvania,305,377,Pottsville,140709,84,36,48,51,117,196,38,59,39.6,6,9,17,40,8.78%,$47679,10.49%,N/A,N/A,$104700,N/A,N/A,78,65.30%,3%,10%,10%,80,25 mins,5.40%,-1.10%,-0.70%,Schuylkill County,26.50%,69.40%,0.0%,0.98%,96.39%,0.0%,0.33%,N/A,N/A,3.7,33.80%,22,N/A,28,21.8%,0.00,19,1,17,N/A,N/A,PA-54016
Newtown,Pennsylvania,244,382,Pottsville,140709,83,35,48,47,126,203,32,59,39.6,7,10,19,51,16.82%,$72857,5.33%,$2093,964,$371500,N/A,N/A,71,75.00%,3%,9%,10%,78,25 mins,5.40%,-1.10%,-21.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.8,34.40%,74,N/A,55,21.1%,0.00,17,1,15,N/A,N/A,PA-54264
North Manheim,Pennsylvania,3689,181,Pottsville,140709,84,36,48,49,124,193,32,N/A,N/A,6,13,22,47,21.94%,$65284,N/A,N/A,N/A,$149600,N/A,N/A,47,74.00%,4%,13%,12%,74,25 mins,5.40%,-1.10%,-0.90%,Schuylkill County,26.50%,69.40%,0.5%,0.2%,98.0%,0.8%,N/A,N/A,N/A,3.7,44.90%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-55192
North Union township (Schuylkill Cnty),Pennsylvania,1221,59,Pottsville,140709,81,33,48,50,125,193,39,N/A,N/A,N/A,5,6,47,N/A,$58897,N/A,N/A,N/A,$117300,N/A,N/A,42,60.90%,3%,9%,11%,84,30 mins,5.40%,-1.10%,-4.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,96.6%,2.8%,N/A,N/A,N/A,3.7,46.50%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Norwegian,Pennsylvania,1870,319,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,7,36,51,24.65%,$55952,N/A,N/A,N/A,$146800,N/A,N/A,43,73.60%,2%,8%,8%,76,25 mins,5.40%,-1.10%,-12.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.1%,1.4%,N/A,N/A,N/A,3.7,40.20%,9,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-55624
Oneida,Pennsylvania,361,743,Pottsville,140709,81,33,48,50,127,193,41,59,39.6,6,13,23,45,0.0%,$135514,7.2%,N/A,N/A,$30200,N/A,N/A,78,61.80%,3%,10%,11%,84,25 mins,5.40%,-1.10%,-26.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,52.91%,47.09%,4.16%,N/A,N/A,3.7,72.50%,9,N/A,16,15.9%,0.00,18,1,1,N/A,N/A,PA-56816
Orwigsburg,Pennsylvania,2964,1380,Pottsville,140709,85,37,48,49,122,190,30,59.6,40.1,6,12,15,47,23.86%,$56642,2.76%,N/A,N/A,$133100,N/A,N/A,58,69.20%,4%,12%,9%,71,33 mins,5.40%,-1.10%,-3.30%,Schuylkill County,26.50%,69.40%,0.84%,0.2%,92.58%,0.57%,2.33%,N/A,N/A,3.7,42.10%,66,N/A,33,17.9%,0.00,19,1,18,N/A,N/A,PA-57184
Orwin,Pennsylvania,196,485,Pottsville,140709,83,36,47,46,120,193,28,59,39.6,7,9,16,35,11.84%,$76750,0.0%,N/A,N/A,$66800,N/A,N/A,78,92.40%,3%,10%,10%,78,25 mins,5.40%,-1.10%,80.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,88.78%,6.63%,0.0%,N/A,N/A,3.7,50.20%,4,N/A,15,18.2%,0.00,17,1,2,N/A,N/A,PA-57192
Palo Alto,Pennsylvania,889,921,Pottsville,140709,84,36,48,50,125,196,37,59,39.6,6,8,16,43,6.86%,$43889,6.22%,N/A,N/A,$56600,N/A,N/A,78,64.40%,3%,10%,10%,71,18 mins,5.40%,-1.10%,-7.30%,Schuylkill County,26.50%,69.40%,0.56%,0.0%,96.85%,2.47%,1.57%,N/A,N/A,3.7,39.70%,23,N/A,10,18.5%,0.00,19,1,18,N/A,N/A,PA-57752
Park Crest,Pennsylvania,542,883,Pottsville,140709,81,33,48,52,127,193,41,59,39.6,N/A,9,16,45,20.71%,$50598,16.42%,N/A,N/A,$108000,N/A,N/A,46,84.40%,3%,10%,11%,83,25 mins,5.40%,-1.10%,-11.20%,Schuylkill County,26.50%,69.40%,0.18%,0.0%,98.71%,1.11%,0.18%,N/A,N/A,3.7,46.90%,5,N/A,6,22.0%,0.00,19,1,2,N/A,N/A,PA-57968
Pine Grove borough,Pennsylvania,1960,1840,Pottsville,140709,84,37,47,46,122,196,24,N/A,N/A,N/A,13,13,38,N/A,$46750,N/A,N/A,N/A,$93500,N/A,N/A,78,51.20%,3%,10%,10%,61,21 mins,5.40%,-1.10%,-8.90%,Schuylkill County,26.50%,69.40%,0.0%,2.0%,89.5%,6.5%,N/A,N/A,N/A,3.7,46.60%,44,N/A,42,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Pine Grove township (Schuylkill Cnty),Pennsylvania,4069,108,Pottsville,140709,84,37,47,46,122,193,24,N/A,N/A,N/A,12,21,47,N/A,$58077,N/A,N/A,N/A,$126800,N/A,N/A,28,77.20%,0%,7%,7%,75,27 mins,5.40%,-1.10%,0.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.5%,0.0%,N/A,N/A,N/A,3.7,37.50%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Port Carbon,Pennsylvania,1701,2450,Pottsville,140709,84,36,48,51,127,191,33,59.4,40,6,6,6,39,14.97%,$50798,6.94%,N/A,N/A,$48600,N/A,N/A,78,69.20%,-6%,0%,10%,75,23 mins,5.40%,-1.10%,-0.30%,Schuylkill County,26.50%,69.40%,0.53%,0.0%,95.12%,4.35%,0.88%,N/A,N/A,3.7,51.30%,42,N/A,18,16.4%,0.00,18,1,17,N/A,N/A,PA-62128
Port Clinton,Pennsylvania,373,323,Pottsville,140709,85,37,48,46,116,196,20,59.3,40.1,6,12,23,48,12.55%,$55139,10.46%,N/A,N/A,$66200,N/A,N/A,78,51.60%,3%,9%,10%,76,25 mins,5.40%,-1.10%,-35.40%,Schuylkill County,26.50%,69.40%,2.41%,0.0%,89.54%,1.61%,3.49%,N/A,N/A,3.7,51.30%,16,N/A,N/A,19.5%,0.00,19,1,22,N/A,N/A,PA-62136
Porter township (Schuylkill Cnty),Pennsylvania,2066,115,Pottsville,140709,83,36,47,46,122,193,29,N/A,N/A,N/A,10,18,46,N/A,$51103,N/A,N/A,N/A,$61000,N/A,N/A,75,78.00%,3%,10%,10%,78,30 mins,5.40%,-1.10%,13.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.6%,0.9%,N/A,N/A,N/A,3.7,46.00%,4,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Pottsville,Pennsylvania,13549,3319,Pottsville,140709,84,36,48,50,125,193,37,59.3,40,6,20,31,44,19.94%,$39154,19.84%,N/A,N/A,$44100,N/A,N/A,78,50.80%,4%,6%,11%,56,19 mins,5.40%,-1.10%,-4.80%,Schuylkill County,26.50%,69.40%,0.05%,3.62%,91.59%,4.32%,1.01%,N/A,N/A,3.7,52.90%,82,N/A,48,16.5%,0.70,18,1,18,N/A,N/A,PA-62432
Ravine,Pennsylvania,670,664,Pottsville,140709,84,37,47,46,122,193,24,59,39.6,7,9,17,48,20.89%,$56976,9.7%,N/A,N/A,$124100,N/A,N/A,30,73.00%,3%,10%,11%,75,25 mins,5.40%,-1.10%,-26.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.96%,1.04%,0.0%,N/A,N/A,3.7,44.40%,4,N/A,25,18.3%,0.00,17,1,18,N/A,N/A,PA-63536
Reilly,Pennsylvania,810,52,Pottsville,140709,83,35,48,49,126,193,35,N/A,N/A,7,9,23,42,7.95%,$51364,N/A,N/A,N/A,$67100,N/A,N/A,78,59.90%,3%,10%,11%,78,23 mins,5.40%,-1.10%,13.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,N/A,N/A,N/A,3.7,47.60%,0,N/A,12,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-64088
Reinerton,Pennsylvania,446,1050,Pottsville,140709,83,36,47,46,120,193,28,59,39.6,7,11,20,42,10.91%,$48250,0.0%,N/A,N/A,$68700,N/A,N/A,73,73.00%,3%,9%,11%,78,25 mins,5.40%,-1.10%,-3.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,45.70%,19,N/A,12,14.3%,0.00,17,1,1,N/A,N/A,PA-64104
Renningers,Pennsylvania,501,434,Pottsville,140709,85,37,48,49,122,193,27,59,39.6,N/A,9,16,32,24.77%,$69648,0.0%,N/A,N/A,$121900,N/A,N/A,17,94.40%,3%,10%,10%,74,25 mins,5.40%,-1.10%,-9.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,38.80%,6,N/A,3,9.0%,0.00,19,1,18,N/A,N/A,PA-64188
Ringtown,Pennsylvania,737,1891,Pottsville,140709,82,34,48,50,124,196,37,59,39.6,6,6,9,38,16.52%,$58333,5.44%,N/A,N/A,$85600,N/A,N/A,75,73.50%,3%,10%,11%,84,30 mins,5.40%,-1.10%,15.10%,Schuylkill County,26.50%,69.40%,0.0%,0.14%,95.66%,1.63%,0.95%,N/A,N/A,3.7,46.60%,24,N/A,20,16.8%,0.00,17,1,1,N/A,N/A,PA-65000
Rush township (Schuylkill Cnty),Pennsylvania,3316,143,Pottsville,140709,83,35,48,52,124,193,39,N/A,N/A,N/A,11,19,57,N/A,$65650,N/A,N/A,N/A,$115800,N/A,N/A,51,77.90%,3%,10%,10%,83,30 mins,5.40%,-1.10%,-3.90%,Schuylkill County,26.50%,69.40%,0.7%,0.0%,97.3%,1.2%,N/A,N/A,N/A,3.7,36.70%,15,N/A,21,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Ryan,Pennsylvania,2523,143,Pottsville,140709,81,33,48,51,126,193,40,N/A,N/A,N/A,5,7,40,14.82%,$63947,N/A,N/A,N/A,$95900,N/A,N/A,44,79.30%,3%,9%,10%,83,26 mins,5.40%,-1.10%,5.80%,Schuylkill County,26.50%,69.40%,1.0%,25.7%,62.9%,8.6%,N/A,N/A,N/A,3.7,61.70%,0,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-66944
Schuylkill Haven,Pennsylvania,5137,3751,Pottsville,140709,85,37,48,49,122,193,27,59.8,40.5,6,11,22,40,22.71%,$43358,8.57%,N/A,N/A,$72400,N/A,N/A,78,60.50%,8%,13%,11%,56,22 mins,5.40%,-1.10%,-3.40%,Schuylkill County,26.50%,69.40%,1.01%,1.07%,95.58%,2.04%,1.52%,N/A,N/A,3.7,40.30%,73,N/A,36,16.2%,0.00,19,1,19,N/A,N/A,PA-68312
Schuylkill township (Schuylkill Cnty),Pennsylvania,1138,118,Pottsville,140709,84,36,48,51,125,193,38,N/A,N/A,N/A,12,22,45,N/A,$36548,N/A,N/A,N/A,$63800,N/A,N/A,78,79.90%,3%,10%,10%,81,29 mins,5.40%,-1.10%,22.50%,Schuylkill County,26.50%,69.40%,1.0%,0.2%,98.9%,0.0%,N/A,N/A,N/A,3.7,56.90%,0,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Seltzer,Pennsylvania,306,3700,Pottsville,140709,84,35,49,50,125,193,37,59.4,40,6,12,22,58,13.95%,$53214,24.84%,N/A,N/A,$103100,N/A,N/A,78,62.60%,3%,10%,10%,76,25 mins,5.40%,-1.10%,-12.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,57.60%,1,N/A,18,28.0%,0.00,18,1,15,N/A,N/A,PA-69256
Shenandoah,Pennsylvania,4789,3234,Pottsville,140709,82,34,48,52,127,193,41,57.9,38.7,6,13,33,39,12.63%,$29208,39.64%,N/A,N/A,$22700,N/A,N/A,78,38.60%,3%,9%,10%,63,23 mins,5.40%,-1.10%,-5.30%,Schuylkill County,26.50%,69.40%,0.08%,3.47%,61.04%,34.39%,9.92%,N/A,N/A,3.7,60.30%,76,N/A,N/A,16.2%,0.00,18,1,2,N/A,N/A,PA-70056
Shenandoah Heights,Pennsylvania,1564,1715,Pottsville,140709,82,34,48,52,127,195,41,59,39.6,6,11,20,40,20.71%,$72046,18.01%,N/A,N/A,$66500,N/A,N/A,78,65.10%,3%,9%,10%,79,25 mins,5.40%,-1.10%,9.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,85.42%,14.58%,7.29%,N/A,N/A,3.7,40.10%,14,N/A,8,17.0%,0.00,18,1,1,N/A,N/A,PA-70064
Sheppton,Pennsylvania,602,4091,Pottsville,140709,81,33,48,50,127,179,42,59,39.6,6,13,24,44,16.26%,$36544,46.4%,N/A,N/A,$75700,N/A,N/A,78,52.30%,3%,10%,11%,84,25 mins,5.40%,-1.10%,1.40%,Schuylkill County,26.50%,69.40%,9.14%,5.15%,77.41%,13.12%,14.78%,N/A,N/A,3.7,72.30%,25,N/A,33,27.5%,0.00,18,1,1,N/A,N/A,PA-70128
South Manheim,Pennsylvania,2398,115,Pottsville,140709,85,37,48,49,123,193,32,N/A,N/A,6,8,15,47,21.85%,$59063,N/A,N/A,N/A,$130500,N/A,N/A,30,78.90%,3%,9%,10%,78,32 mins,5.40%,-1.10%,-1.50%,Schuylkill County,26.50%,69.40%,0.0%,0.2%,95.5%,4.2%,N/A,N/A,N/A,3.7,32.90%,0,N/A,9,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-72312
St. Clair borough,Pennsylvania,2899,2351,Pottsville,140709,84,36,48,50,125,196,37,N/A,N/A,N/A,10,44,45,N/A,$35144,N/A,N/A,N/A,$50000,N/A,N/A,78,57.50%,3%,9%,10%,70,21 mins,5.40%,-1.10%,-4.50%,Schuylkill County,26.50%,69.40%,0.6%,0.6%,98.8%,0.0%,N/A,N/A,N/A,3.7,54.50%,61,N/A,46,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Summit Station,Pennsylvania,154,164,Pottsville,140709,85,37,48,49,123,193,27,59.3,40,6,9,16,61,9.49%,$45000,0.0%,N/A,N/A,$92500,N/A,N/A,78,100.00%,3%,10%,11%,78,25 mins,5.40%,-1.10%,44.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,26.90%,8,N/A,11,22.1%,0.00,19,1,22,N/A,N/A,PA-75272
Tamaqua,Pennsylvania,6699,715,Pottsville,140709,84,36,48,52,124,196,38,58.1,38.7,6,12,39,39,15.6%,$37043,21.19%,N/A,N/A,$46500,N/A,N/A,78,50.10%,3%,10%,10%,78,27 mins,5.40%,-1.10%,-3.60%,Schuylkill County,26.50%,69.40%,0.0%,0.33%,91.0%,5.4%,1.07%,N/A,N/A,3.7,52.60%,75,N/A,52,14.6%,1.42,20,1,2,N/A,N/A,PA-76032
Tower City,Pennsylvania,1187,4010,Pottsville,140709,83,36,47,46,120,191,28,59,39.6,7,8,8,39,14.29%,$57083,11.15%,N/A,N/A,$60000,N/A,N/A,78,62.80%,3%,10%,10%,78,30 mins,5.40%,-1.10%,-15.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.99%,0.67%,0.51%,N/A,N/A,3.7,48.00%,25,N/A,13,18.6%,7.08,17,1,1,N/A,N/A,PA-77184
Tremont,Pennsylvania,299,12,Pottsville,140709,84,36,48,46,123,193,26,59.6,40.1,7,13,23,47,7.86%,$46250,13.5%,N/A,N/A,$96300,N/A,N/A,55,77.20%,3%,10%,10%,78,25 mins,5.40%,-1.10%,49.50%,Schuylkill County,26.50%,69.40%,0.0%,0.7%,99.3%,0.0%,2.1%,N/A,N/A,3.7,55.90%,29,N/A,22,16.3%,0.00,17,1,15,N/A,N/A,PA-77400
Tremont borough,Pennsylvania,1790,2466,Pottsville,140709,83,35,48,47,126,191,32,N/A,N/A,N/A,12,22,43,N/A,$40375,N/A,N/A,N/A,$58900,N/A,N/A,78,64.20%,3%,10%,10%,78,25 mins,5.40%,-1.10%,5.90%,Schuylkill County,26.50%,69.40%,3.1%,0.4%,95.9%,0.2%,N/A,N/A,N/A,3.7,54.30%,29,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Tuscarora,Pennsylvania,397,276,Pottsville,140709,84,36,48,51,125,193,38,58.6,39.3,6,12,22,44,8.85%,$39958,12.59%,N/A,N/A,$61500,N/A,N/A,78,82.20%,3%,10%,10%,81,29 mins,5.40%,-1.10%,17.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.5%,N/A,N/A,3.7,55.80%,7,N/A,26,16.4%,0.00,19,1,10,N/A,N/A,PA-77968
Union township (Schuylkill Cnty),Pennsylvania,1277,59,Pottsville,140709,82,34,48,50,124,193,37,N/A,N/A,N/A,5,5,49,N/A,$44492,N/A,N/A,N/A,$85000,N/A,N/A,39,76.30%,3%,9%,10%,84,27 mins,5.40%,-1.10%,-5.80%,Schuylkill County,26.50%,69.40%,0.0%,0.2%,95.9%,2.9%,N/A,N/A,N/A,3.7,41.60%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Upper Mahantongo,Pennsylvania,650,44,Pottsville,140709,84,35,49,43,125,193,30,N/A,N/A,7,9,17,41,14.69%,$46458,N/A,N/A,N/A,$128800,N/A,N/A,65,68.80%,3%,9%,11%,81,30 mins,5.40%,-1.10%,-1.50%,Schuylkill County,26.50%,69.40%,0.0%,0.9%,97.4%,1.7%,N/A,N/A,N/A,3.7,38.30%,1,N/A,15,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-79120
Valley View (Schuylkill Cnty),Pennsylvania,1520,406,Pottsville,140709,83,35,48,46,122,192,31,N/A,N/A,N/A,12,22,39,N/A,$46217,N/A,N/A,N/A,$102300,N/A,N/A,78,56.10%,-2%,6%,7%,80,26 mins,5.40%,-1.10%,-11.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,94.5%,0.0%,N/A,N/A,N/A,3.7,51.50%,26,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Walker township (Schuylkill Cnty),Pennsylvania,1120,49,Pottsville,140709,84,36,48,52,124,193,38,N/A,N/A,N/A,6,7,42,N/A,$60156,N/A,N/A,N/A,$126600,N/A,N/A,57,74.80%,3%,10%,10%,81,24 mins,5.40%,-1.10%,5.90%,Schuylkill County,26.50%,69.40%,0.0%,1.4%,96.0%,1.9%,N/A,N/A,N/A,3.7,46.00%,0,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Washington township (Schuylkill Cnty),Pennsylvania,2934,95,Pottsville,140709,84,37,47,47,122,193,24,N/A,N/A,N/A,8,15,43,N/A,$60455,N/A,N/A,N/A,$143400,N/A,N/A,36,82.70%,3%,10%,10%,79,31 mins,5.40%,-1.10%,-1.20%,Schuylkill County,26.50%,69.40%,0.8%,2.3%,94.8%,1.6%,N/A,N/A,N/A,3.7,35.10%,1,N/A,9,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Wayne township (Schuylkill Cnty),Pennsylvania,5071,144,Pottsville,140709,85,37,48,49,123,193,29,N/A,N/A,N/A,11,19,49,N/A,$62440,N/A,N/A,N/A,$115600,N/A,N/A,31,87.70%,8%,17%,17%,78,27 mins,5.40%,-1.10%,0.90%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.5%,0.3%,N/A,N/A,N/A,3.7,36.80%,13,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
West Brunswick,Pennsylvania,3253,107,Pottsville,140709,85,37,48,49,122,193,31,N/A,N/A,6,11,19,48,33.01%,$56176,N/A,N/A,N/A,$164600,N/A,N/A,34,82.20%,2%,11%,11%,76,25 mins,5.40%,-1.10%,-2.10%,Schuylkill County,26.50%,69.40%,1.9%,0.2%,92.5%,3.8%,N/A,N/A,N/A,3.7,30.40%,0,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-82632
West Mahanoy,Pennsylvania,2785,269,Pottsville,140709,82,33,49,51,126,193,40,N/A,N/A,N/A,8,16,45,18.38%,$44107,N/A,N/A,N/A,$59900,N/A,N/A,78,65.60%,3%,10%,10%,79,25 mins,5.40%,-1.10%,-3.90%,Schuylkill County,26.50%,69.40%,3.3%,0.0%,88.8%,7.7%,N/A,N/A,N/A,3.7,46.60%,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-83408
West Penn,Pennsylvania,4321,75,Pottsville,140709,85,37,48,51,119,193,38,N/A,N/A,6,8,11,49,21.08%,$57125,N/A,N/A,N/A,$168500,N/A,N/A,29,76.10%,5%,11%,10%,80,36 mins,5.40%,-1.10%,0.20%,Schuylkill County,26.50%,69.40%,0.0%,0.8%,97.5%,1.6%,N/A,N/A,N/A,3.7,35.50%,2,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-83792
