City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Beaver borough,Pennsylvania,4438,4824,Pittsburgh,2366544,$63882,42.7%,46,$275000,1993,$138,N/A,77.7%,$781,46.73%,N/A,N/A,13.25%,10.47%,57.62%,Beaver County,38.50%,57.00%,1.62%,3.65%,91.84%,1.69%,1.58%,Eastern Standard Time,84,36,48,62,19,57%,54%,39,58,86,42%,52%,29%,44.51,12.83,10.21,39.29%,37.69%,42.0%,44.4,37,7.8,34.4,57,696,3.7,0.92,PA-04688,40.693566,-80.3074283
Beaver Falls,Pennsylvania,9069,4258,Pittsburgh,2366544,$34640,18.87%,32,$129000,1433,$90,79,45.63%,$633,67.97%,N/A,N/A,31.08%,12.08%,59.49%,Beaver County,38.50%,57.00%,1.27%,21.94%,68.92%,3.94%,2.04%,Eastern Standard Time,84,36,48,62,19,57%,54%,39,58,86,42%,52%,29%,44.51,12.83,10.21,39.29%,37.69%,42.0%,44.4,37,7.8,34.4,59,696,3.7,2.13,PA-04792,40.7619718,-80.3225637
Bell Acres,Pennsylvania,1528,286,Pittsburgh,2366544,$133750,54.09%,46,$890000,4198,$212,60,95.38%,$980,36.26%,N/A,N/A,6.61%,2.62%,70.16%,Allegheny County,55.90%,39.50%,1.7%,3.08%,86.19%,0.52%,2.88%,Eastern Standard Time,84,36,48,65,21,57%,54%,39,58,86,42%,52%,29%,39.86,12.22,8.64,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,67,648,3.4,5.35,PA-05216,40.5897788,-80.1737812
Bell township (Westmoreland Cnty),Pennsylvania,2288,106,Pittsburgh,2366544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Westmoreland County,32.50%,63.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,36,47,61,20,57%,54%,39,58,85,42%,52%,29%,48.65,15.26,10.47,49.12%,46.92%,56.11%,25.0,22,7.8,34.4,64,1014,3.5,21.58,PA-05208,40.5115232,-79.5207914
Belle Vernon,Pennsylvania,783,3012,Pittsburgh,2366544,$32331,17.91%,51,$25000,N/A,N/A,61,42.02%,$615,67.08%,N/A,N/A,17.24%,8.47%,59.11%,Fayette County,33.20%,63.90%,1.15%,3.58%,91.32%,0.26%,1.15%,Eastern Standard Time,85,39,46,64,22,57%,54%,39,58,87,42%,52%,29%,44.45,13.52,10.05,40.66%,37.91%,47.44%,30.5,14,7.8,34.4,60,684,3.6,0.26,PA-05288,40.1256475,-79.8670417
Bellevue,Pennsylvania,8287,8205,Pittsburgh,2366544,$53860,44.89%,35,$217000,1824,$119,78,48.66%,$845,63.22%,N/A,N/A,6.9%,3.23%,76.4%,Allegheny County,55.90%,39.50%,0.3%,12.04%,80.42%,2.16%,2.56%,Eastern Standard Time,86,39,47,64,21,57%,54%,39,58,89,42%,52%,29%,43.97,12.6,10.28,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,38,657,3.4,1.01,PA-05312,40.4944827,-80.05499
Ben Avon,Pennsylvania,1899,4997,Pittsburgh,2366544,$92057,63.6%,39,$342000,1644,$208,N/A,85.69%,$1189,36.48%,N/A,N/A,4.74%,2.93%,72.19%,Allegheny County,55.90%,39.50%,1.11%,1.9%,92.21%,0.9%,2.69%,Eastern Standard Time,86,39,47,64,21,57%,54%,39,58,89,42%,52%,29%,43.97,12.6,10.28,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,34,657,3.4,0.38,PA-05504,40.5058269,-80.0814818
Ben Avon Heights,Pennsylvania,335,1971,Pittsburgh,2366544,$204375,85.2%,41,N/A,N/A,N/A,N/A,100.0%,N/A,27.67%,0,828,0.9%,3.16%,76.61%,Allegheny County,55.90%,39.50%,1.19%,0.0%,97.91%,0.0%,2.69%,Eastern Standard Time,86,39,47,64,21,57%,54%,39,58,89,42%,52%,29%,43.97,12.6,10.28,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,56,657,3.4,0.17,PA-05520,40.512545,-80.0730812
Bentleyville,Pennsylvania,2396,648,Pittsburgh,2366544,$44336,19.34%,37,$110000,1447,$76,65,79.16%,$552,53.75%,N/A,N/A,21.29%,3.46%,57.43%,Washington County,35.50%,60.00%,0.0%,0.58%,91.19%,3.26%,3.09%,Eastern Standard Time,85,39,46,64,22,57%,54%,39,58,87,42%,52%,29%,44.45,13.52,10.05,40.66%,37.91%,47.44%,30.5,14,7.8,34.4,40,684,3.6,3.7,PA-05672,40.1178469,-80.0044196
Bethel Park,Pennsylvania,33356,2858,Pittsburgh,2366544,$93378,49.4%,48,$292000,1718,$170,56,84.73%,$1104,40.52%,N/A,N/A,4.07%,4.64%,65.3%,Allegheny County,55.90%,39.50%,1.93%,1.68%,92.16%,1.22%,4.42%,Eastern Standard Time,83,37,46,65,23,57%,54%,39,58,85,42%,52%,29%,45.42,13.89,9.92,44.3%,43.52%,45.78%,44.4,37,7.8,34.4,57,930,3.4,11.67,PA-06064,40.3238063,-80.0364175
