City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Etna-Troy,Indiana,1483,42,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Whitley County,21.40%,72.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,42.19,13.15,8.04,31.18%,31.65%,30.67%,47.3,38,N/A,36.1,82,789,3.4,35.31,IN-21520,41.2512433,-85.5946016
Fort Wayne,Indiana,266235,2404,Fort Wayne,415887,$60293,28.53%,35,$182000,1542,$118,49,66.23%,$959,55.65%,361,2760,15.56%,5.55%,65.82%,Allen County,37.30%,56.50%,5.82%,14.61%,63.76%,10.53%,9.04%,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.14,12.66,7.77,38.44%,36.15%,42.33%,33.8,32,7.6,36.1,66,744,3.6,110.74,IN-25000,41.0887852,-85.143603
Grabill,Indiana,1248,1920,Fort Wayne,415887,$62788,29.69%,36,N/A,N/A,N/A,40,83.65%,$858,52.36%,N/A,N/A,11.25%,2.6%,75.73%,Allen County,37.30%,56.50%,0.0%,0.4%,90.22%,7.53%,2.96%,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,40.65,12.13,7.91,38.44%,36.15%,42.33%,35.3,28,7.6,36.1,78,735,3.6,0.65,IN-28494,41.2094682,-84.968158
Harlan,Indiana,1333,430,Fort Wayne,415887,$73214,12.19%,58,N/A,N/A,N/A,44,89.5%,$939,27.3%,N/A,N/A,5.63%,5.93%,67.03%,Allen County,37.30%,56.50%,0.0%,0.0%,98.42%,0.83%,0.53%,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,38.89,11.63,7.31,38.44%,36.15%,42.33%,35.3,28,7.6,36.1,80,648,3.6,3.1,IN-31432,41.1965438,-84.9245404
Harrison township (Wells Cnty),Indiana,8553,179,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wells County,19.50%,75.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,63,18,61%,55%,40,60,85,60%,75%,47%,43.27,13.25,8.44,37.78%,33.63%,41.56%,24.6,18,8.3,36.1,74,756,3.3,47.78,IN-32062,40.6988362,-85.1459806
Hoagland,Indiana,886,261,Fort Wayne,415887,$60417,22.78%,39,N/A,N/A,N/A,60,85.68%,N/A,48.06%,N/A,N/A,13.21%,8.73%,73.77%,Allen County,37.30%,56.50%,0.0%,0.0%,96.95%,0.45%,0.0%,Eastern Standard Time,84,33,51,63,19,61%,55%,40,60,86,60%,75%,47%,42.73,12.88,8.26,35.01%,33.3%,35.67%,27.8,15,7.6,36.1,80,717,3.6,3.4,IN-34096,40.9519627,-84.9954713
Huntertown,Indiana,10984,2069,Fort Wayne,415887,$104808,42.93%,34,$348000,2035,$171,12,95.59%,$1522,31.57%,N/A,N/A,2.2%,0.63%,72.08%,Allen County,37.30%,56.50%,4.44%,4.87%,82.07%,4.79%,7.86%,Eastern Standard Time,81,31,50,61,17,61%,55%,40,60,82,60%,75%,47%,39.16,11.61,7.62,38.44%,36.15%,42.33%,35.3,28,7.6,36.1,77,774,3.6,5.31,IN-35266,41.2184562,-85.1704584
Jackson township (Allen Cnty),Indiana,295,12,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,38.89,11.63,7.31,40.05%,37.03%,42.89%,24.6,19,7.6,36.1,75,648,3.6,24.58,IN-36738,41.0526608,-84.8437262
Jackson township (Wells Cnty),Indiana,975,27,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wells County,19.50%,75.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,34,49,64,19,61%,55%,40,60,85,60%,75%,47%,44.38,13.68,8.67,36.93%,34.62%,40.89%,31.9,29,8.3,36.1,82,810,3.3,36.11,IN-37548,40.6106284,-85.3908796
Jefferson township (Allen Cnty),Indiana,2294,63,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,40.67,11.84,8.03,35.01%,33.3%,35.67%,27.8,15,7.6,36.1,75,723,3.6,36.41,IN-37836,41.050056,-84.9423287
Jefferson township (Wells Cnty),Indiana,5814,124,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wells County,19.50%,75.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,63,18,61%,55%,40,60,85,60%,75%,47%,42.38,13.19,7.69,37.78%,33.63%,41.56%,24.6,18,8.3,36.1,79,786,3.3,46.89,IN-38304,40.873559,-85.1480184
Jefferson township (Whitley Cnty),Indiana,2288,65,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Whitley County,21.40%,72.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,40.97,12.88,7.82,31.18%,31.65%,30.67%,33.8,32,8.3,36.1,80,771,3.4,35.2,IN-38322,41.0471789,-85.3940679
Lafayette township (Allen Cnty),Indiana,3490,119,Fort Wayne,415887,N/A,N/A,N/A,$197000,1313,$150,N/A,N/A,N/A,N/A,484,3289,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.71,12.56,7.76,37.59%,33.74%,42.44%,33.8,32,8.3,36.1,79,723,3.6,29.38,IN-40716,40.9598791,-85.2796535
Lake township (Allen Cnty),Indiana,2673,678,Fort Wayne,415887,N/A,N/A,N/A,$273000,2084,$131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,39.16,11.61,7.62,38.44%,36.15%,42.33%,33.8,32,8.3,36.1,78,774,3.6,3.94,IN-40932,41.1341352,-85.2820836
