City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Southborough,Massachusetts,10021,715,Worcester,945752,$149375,66.55%,N/A,$724000,2270,$319,37,87.00%,$2562,37.40%,N/A,N/A,N/A,2.30%,N/A,Worcester County,51.00%,40.40%,11.2%,1.1%,84.2%,2.0%,N/A,Eastern Standard Time,83,36,47,49,124,197,44,N/A,N/A,7,72,470,3.3,14.02,MA-63165
Southbridge Town,Massachusetts,16865,833,Worcester,945752,$52900,16.58%,N/A,$331000,1680,$197,69,50.23%,$1496,55.10%,N/A,N/A,19.65%,7.36%,64.45%,Worcester County,51.00%,40.40%,0.39%,4.19%,63.92%,32.23%,3.74%,Eastern Standard Time,81,34,47,50,132,197,49,57.7,37.4,N/A,69,470,3.3,20.24,MA-63305
Spencer,Massachusetts,5810,2754,Worcester,945752,$52593,6.38%,49,$330000,2200,$150,75,54.16%,$815,46.30%,N/A,N/A,12.36%,9.82%,58.67%,Worcester County,51.00%,40.40%,6.7%,1.51%,84.34%,2.96%,7.11%,Eastern Standard Time,80,32,48,48,130,197,58,N/A,N/A,7,75,470,3.3,2.11,MA-66070
Sterling,Massachusetts,8000,261,Worcester,945752,$90455,52.82%,N/A,$575000,2468,$233,39,86.00%,N/A,39.40%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.7%,0.5%,91.6%,4.7%,N/A,Eastern Standard Time,81,33,48,48,134,197,53,N/A,N/A,7,79,470,3.3,30.65,MA-67385
Sturbridge,Massachusetts,2101,394,Worcester,945752,$106964,50.38%,49,$382000,1760,$217,58,88.35%,$1443,39.10%,N/A,N/A,3.62%,0.0%,60.52%,Worcester County,51.00%,40.40%,3.47%,1.19%,93.29%,1.62%,1.43%,Eastern Standard Time,81,34,47,50,131,197,49,N/A,N/A,7,73,470,3.3,5.33,MA-68120
Sutton,Massachusetts,9297,287,Worcester,945752,$111804,40.98%,N/A,$608000,2203,$276,40,85.90%,N/A,39.90%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.0%,3.1%,92.9%,0.2%,N/A,Eastern Standard Time,81,34,47,50,127,197,44,N/A,N/A,7,78,470,3.3,32.39,MA-68610
Templeton,Massachusetts,8117,255,Worcester,945752,$68929,21.95%,N/A,N/A,N/A,N/A,41,78.30%,N/A,42.80%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.8%,0.0%,96.2%,1.3%,N/A,Eastern Standard Time,80,31,49,48,123,197,64,N/A,N/A,7,82,470,3.3,31.83,MA-69240
Upton,Massachusetts,2279,923,Worcester,945752,$90673,48.94%,49,$583000,1937,$301,65,76.34%,$788,38.00%,N/A,N/A,2.69%,11.31%,63.17%,Worcester County,51.00%,40.40%,0.0%,3.2%,90.3%,4.48%,4.56%,Eastern Standard Time,83,36,47,49,117,197,45,N/A,N/A,7,75,470,3.3,2.47,MA-71445
Uxbridge,Massachusetts,13815,467,Worcester,945752,$86768,34.93%,N/A,$442000,1789,$247,39,75.00%,N/A,45.20%,N/A,N/A,N/A,2.80%,N/A,Worcester County,51.00%,40.40%,2.1%,2.4%,93.0%,1.5%,N/A,Eastern Standard Time,83,36,47,49,120,197,43,N/A,N/A,7,73,470,3.3,29.58,MA-71620
Warren,Massachusetts,546,427,Worcester,945752,$42538,14.52%,41,$351000,2077,$169,65,38.64%,$658,45.40%,N/A,N/A,24.73%,9.09%,40.55%,Worcester County,51.00%,40.40%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,81,33,48,48,126,197,49,N/A,N/A,7,80,470,3.3,1.28,MA-73055
Webster,Massachusetts,11719,3946,Worcester,945752,$50036,19.73%,38,$352000,2023,$174,69,43.58%,$895,53.60%,N/A,N/A,14.79%,7.45%,66.29%,Worcester County,51.00%,40.40%,1.18%,5.57%,70.19%,19.35%,8.73%,Eastern Standard Time,81,34,47,51,129,197,41,N/A,N/A,7,66,470,3.3,2.97,MA-73930
West Boylston,Massachusetts,7892,610,Worcester,945752,$73365,33.24%,N/A,$535000,2058,$260,57,77.40%,N/A,58.70%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.4%,5.4%,79.7%,11.2%,N/A,Eastern Standard Time,81,33,48,48,134,197,53,N/A,N/A,7,74,470,3.3,12.94,MA-75155
West Brookfield,Massachusetts,1511,1199,Worcester,945752,$47098,26.22%,55,N/A,N/A,N/A,46,56.01%,$978,43.20%,N/A,N/A,3.63%,3.73%,59.89%,Worcester County,51.00%,40.40%,0.0%,0.0%,96.89%,1.19%,0.66%,Eastern Standard Time,81,33,48,48,124,197,50,57.4,37.3,7,80,470,3.3,1.26,MA-75365
West Brookfield CDP,Massachusetts,1511,1199,Worcester,945752,$47098,26.22%,55,N/A,N/A,N/A,78,56.01%,$978,56.80%,N/A,N/A,3.63%,3.73%,59.89%,Worcester County,51.00%,40.40%,0.0%,0.0%,96.89%,1.19%,0.66%,Eastern Standard Time,81,33,48,48,124,195,50,N/A,N/A,N/A,80,470,3.3,1.26,MA-75365
Westborough,Massachusetts,4024,2129,Worcester,945752,$83929,53.02%,41,$566000,1838,$308,69,60.56%,$1255,36.50%,N/A,N/A,9.73%,3.12%,71.91%,Worcester County,51.00%,40.40%,5.77%,1.96%,78.03%,9.97%,14.84%,Eastern Standard Time,83,36,47,49,117,197,45,N/A,N/A,7,72,470,3.3,1.89,MA-75050
Westminster,Massachusetts,7566,214,Worcester,945752,$87273,40.39%,N/A,$400000,1770,$226,44,84.70%,N/A,40.90%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.3%,0.2%,95.9%,3.4%,N/A,Eastern Standard Time,79,31,48,48,129,197,69,N/A,N/A,7,83,470,3.3,35.36,MA-77010
Whitinsville,Massachusetts,7435,2043,Worcester,945752,$79724,28.61%,37,$420000,1448,$290,68,54.67%,$980,47.50%,N/A,N/A,6.62%,4.72%,68.59%,Worcester County,51.00%,40.40%,1.37%,0.55%,84.77%,7.41%,4.87%,Eastern Standard Time,82,35,47,49,121,196,43,57.4,37.3,7,75,470,3.3,3.64,MA-79495
Winchendon,Massachusetts,4673,2059,Worcester,945752,$60908,24.48%,37,$422000,3836,$110,76,62.83%,$692,45.20%,N/A,N/A,10.85%,6.32%,70.48%,Worcester County,51.00%,40.40%,7.55%,0.88%,83.84%,6.66%,4.69%,Eastern Standard Time,80,31,49,47,123,197,67,N/A,N/A,7,85,470,3.3,2.27,MA-80370
Worcester,Massachusetts,185186,4957,Worcester,945752,$51647,31.16%,35,$390000,1773,$220,72,45.86%,$1115,63.30%,N/A,N/A,19.7%,4.97%,61.18%,Worcester County,51.00%,40.40%,7.25%,12.96%,54.38%,23.11%,20.99%,Eastern Standard Time,80,33,47,48,130,197,51,57.7,37.4,7,61,470,3.3,37.36,MA-82000
