Company Name,Median Salary
Clearbanc,79
Envato,79
Kaluza,78
PROS,78
Sitecore,78
Comerica-Bank,77
QGenda,77
Siemens,77
Toptal,77
Doctolib,76
Peraton,76
Rightpoint,76
Securian-Financial,76
Adevinta,75
Bell-Flight,75
Capgemini,75
CHECK24,75
Crowe,75
Harness,75
Hexagon-AB,75
InMobi,75
Klarna,75
Micro-Focus,75
OpenText,75
Sprint,75
Starling-Bank,75
Agoda,74
Algolia,74
Bentley-Systems,74
Blue-Yonder,74
EAB,74
NatWest-Group,74
ASOS,73
Elegant-Themes,73
MetLife,73
trivago,73
Antra,72
GlobalFoundries,72
Tata-Consultancy-Services,72
Allianz,71
Hy-Vee,71
Manulife,71
Thrivent-Financial,71
AbbVie,70
Airbus,70
Deutsche-Bank,70
ICF,70
Internet-Brands,70
National-Grid,70
SSENSE,70
Qlik,69
Ocado-Group,68
DXC-Technology,67
Molex,67
Tower-Research-Capital,67
BMO-Financial-Group,66
E2open,66
Dynatrace,65
Thales,65
D2L,64
EPAM-Systems,64
IKEA,64
Pegasystems,64
Amadeus,63
Artsy,63
Geotab,63
eClinicalWorks,62
Infosys,62
Traveloka,62
Appier,61
Atos,61
Global-Relay,61
Lendio,61
Scopely,61
TomTom,61
Arup,60
HSBC,60
Luxoft,60
Nubank,60
Synology,60
Mediaocean,59
Cashfree,58
HCL-Technologies,58
ASUS,57
Bristol-Myers-Squibb,56
Sage,56
InvestCloud,55
Swiggy,55
DataArt,54
Dream11,54
Tala,54
Directi,53
Starry,53
Coalfire,52
Joveo,52
Sauce-Labs,52
Gojek-Tech,50
Maersk,50
OZON,50
CRED,49
Hotstar,49
Meesho,49
Arcesium,48
Ciklum,48
Tekion,48
ABB,47
DDN-Storage,47
Kaspersky-Lab,47
Panasonic,47
DELTA,46
Sprinklr,46
Druva,45
Nagarro,45
Talkdesk,45
Itron,44
PhonePe,44
Cabify,43
HTC,43
JetBrains,43
Pegatron,43
Razorpay,43
SoftServe,43
Myntra,42
Sberbank,42
Trend-Micro,42
Farfetch,41
HackerRank,41
Harman-International-Industries,40
ITRI,40
LTI,40
Kantar,39
Santander-Bank,37
Mercado-Libre,36
Freshworks,34
Globant,34
MURAL,33
Societe-Generale,33
Tinkoff-Bank,33
FDM-Group,32
ShareChat,32
Innovaccer,31
Postman,31
GSK,30
Ola,30
Temenos,30
Acquia,29
Chargebee,27
Fractal,27
Grofers,27
MakeMyTrip,27
BrowserStack,26
Dunzo,26
Paytm,26
6sense,25
Jio,25
Soroco,25
PayU,24
Rappi,24
Altimetrik,23
ClearTax,23
Colgate,23
Loggi,23
BMC,22
Synechron,21
Tokopedia,20
Airtel-India,19
Tech-Mahindra,19
BNP-Paribas,18
Delhivery,18
Quantiphi,18
JLL,17
Protiviti,17
ABC,16
Practo,16
Endava,15
Bukalapak,14
Andela,13
Snap-on-Tools,13
Aryaka-Networks,12
Baker-Hughes,12
MAQ-Software,10
