City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Spring Glen,Utah,1129,332,Price,20760,90,36,54,11,61,230,33,36.9,25.2,6,9,23,49,15.79%,$44732,4.4%,N/A,N/A,$179800,N/A,N/A,59,76.60%,7%,37%,33%,93,17 mins,4.40%,1.30%,19.90%,Carbon County,21.50%,65.90%,N/A,N/A,100.00%,1.10%,2.7%,N/A,N/A,4.6,40.40%,0,N/A,22,12.4%,0.00,0,0,515
Spring Lake,Utah,373,334,Provo-Orem,663181,91,37,54,17,89,226,51,40.7,30.7,5,8,20,26,N/A,$41154,7.8%,N/A,N/A,$336900,N/A,N/A,41,91.60%,12%,48%,36%,91,21 mins,2.90%,N/A,-33.60%,Utah County,14.00%,50.20%,N/A,2.28%,97.72%,3.80%,0%,Mountain Standard Time,4227,4.5,29.40%,0,N/A,22,13.3%,0.00,0,0,127
Springdale,Utah,447,97,St. George,184913,100,53,47,14,61,252,4,38.2,27.6,6,30,71,61,42.05%,$47361,0%,N/A,N/A,$746400,N/A,N/A,27,35.90%,12%,50%,26%,92,18 mins,3.40%,3.50%,-12.90%,Washington County,16.50%,68.40%,N/A,N/A,99.42%,10.50%,3.1%,Mountain Standard Time,2880,6,42.60%,46,N/A,51,20.4%,21.14,1,0,187
Springville,Utah,32319,2254,Provo-Orem,663181,93,38,55,20,95,225,51,41.6,31,5,10,30,25,36.09%,$59375,5.8%,$1315,1098,$389900,2062,$189,25,66.60%,12%,51%,43%,76,20 mins,2.60%,N/A,17.00%,Utah County,14.00%,50.20%,N/A,N/A,92.55%,15.30%,7.9%,Mountain Standard Time,4227,4.5,36.80%,29,N/A,38,19.3%,27.50,0,0,125
St. George,Utah,79995,1041,St. George,184913,101,54,47,10,43,255,2,40.7,29.7,N/A,11,29,36,N/A,$48188,10.3%,N/A,N/A,$303700,N/A,N/A,21,54.30%,13%,48%,27%,68,15 mins,3.50%,3.50%,12.50%,Washington County,16.50%,68.40%,N/A,N/A,N/A,13.00%,7.1%,Mountain Standard Time,2880,6,42.10%,30,16,45,18.3%,24.88,1,0,115
Stansbury Park,Utah,9446,4063,Salt Lake City,1240029,91,38,53,15,87,226,53,38,28.8,7,8,22,29,41.88%,$88101,1.8%,$1326,999,$357100,N/A,N/A,16,89.80%,13%,48%,47%,88,28 mins,3.50%,1.50%,76.70%,Tooele County,20.80%,50.90%,1.64%,N/A,94.79%,6.90%,4.1%,Mountain Standard Time,4260,4.5,31.20%,12,N/A,35,17.8%,6.47,0,0,321
Sterling,Utah,217,674,None,0,88,36,52,13,78,240,41,37.3,26.9,5,11,27,37,N/A,$43438,1.6%,N/A,N/A,$236400,N/A,N/A,66,83.20%,15%,41%,36%,98,21 mins,4.00%,2.40%,-31.30%,Sanpete County,10.40%,65.10%,1.54%,1.16%,96.14%,N/A,1.6%,N/A,N/A,4.7,43.80%,6,N/A,N/A,17.9%,53.76,0,0,553
Stockton,Utah,699,415,Salt Lake City,1240029,91,39,52,17,91,229,67,38.6,29.2,6,14,18,43,9.90%,$62727,4.5%,N/A,N/A,$243000,N/A,N/A,29,81.00%,12%,50%,47%,92,27 mins,3.50%,1.50%,29.40%,Tooele County,20.80%,50.90%,N/A,N/A,94.85%,11.20%,1.1%,Mountain Standard Time,4260,4.5,34.10%,0,N/A,17,17.4%,121.53,0,0,295
Summit,Utah,203,299,Cedar City,56814,87,43,44,14,62,255,49,37.3,26.1,6,9,23,51,N/A,$39310,0%,N/A,N/A,$293100,N/A,N/A,28,58.20%,13%,30%,18%,93,17 mins,3.50%,3.00%,-14.40%,Iron County,13.70%,64.80%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,5.6,28.30%,0,N/A,23,9.0%,73.53,0,0,340
Summit Park,Utah,7954,504,Summit Park,42499,84,35,49,20,99,226,94,35.2,24.7,5,9,27,40,N/A,$119286,4.1%,$1425,690,$669300,N/A,N/A,24,75.00%,12%,41%,28%,92,25 mins,2.70%,0.40%,6.00%,Summit County,50.30%,35.10%,N/A,N/A,N/A,10.50%,10%,N/A,N/A,4.7,35.10%,1,N/A,N/A,18.4%,0.00,0,0,408
