City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Swanton village,Vermont,2328,3063,Burlington-South Burlington,231329,$57250,12.93%,43,$186000,1918,$97,76,79.99%,$823,53.71%,121,838,10.18%,8.09%,60.74%,Franklin County,43.70%,40.90%,1.93%,0.04%,93.6%,1.07%,3.82%,Eastern Standard Time,82,28,54,42.23,48.8,8.2,87,390,2.9,0.76,VT-71650,44.9213296,-73.1200587,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,36.74%,40.22%,36.33%,30
Thetford,Vermont,2564,59,Claremont-Lebanon,228819,$72768,49.87%,N/A,N/A,N/A,N/A,40,73.30%,N/A,41.80%,0,195,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,1.00%,N/A,N/A,83,29,54,43.52,74.3,6.0,85,420,3.1,43.46,VT-72400,43.8355644,-72.248525,55%,62%,53%,53%,51%,17.7,35,57,58,8,13.74,8.85,40.99%,46.59%,37.67%,35
Tinmouth,Vermont,601,21,Rutland,61186,$53636,25.83%,N/A,N/A,N/A,N/A,39,50.60%,N/A,33.00%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,N/A,N/A,N/A,N/A,N/A,N/A,81,30,51,44.71,73.4,7.9,91,621,2.9,28.62,VT-72925,43.4447488,-73.0576707,50%,58%,45%,57%,55%,22.7,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
Topsham,Vermont,1063,22,Claremont-Lebanon,228819,$56667,23.69%,N/A,N/A,N/A,N/A,35,55.40%,N/A,41.10%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,1.70%,N/A,N/A,77,27,50,45.97,88.5,8.2,90,1080,3.1,48.32,VT-73075,44.1337548,-72.2497976,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,45.53%,46.92%,47.22%,57
Tunbridge,Vermont,1172,26,Claremont-Lebanon,228819,$61438,33.19%,N/A,N/A,N/A,N/A,39,63.40%,N/A,42.10%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,N/A,N/A,N/A,77,27,50,45.97,84.9,8.2,88,1080,3.1,45.08,VT-73675,43.9019181,-72.4851255,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,40.99%,46.59%,37.67%,34
Underhill,Vermont,3053,59,Burlington-South Burlington,231329,$90682,59.59%,N/A,N/A,N/A,N/A,39,89.50%,N/A,30.70%,N/A,N/A,N/A,1.80%,N/A,Chittenden County,65.70%,22.30%,1.27%,N/A,N/A,N/A,N/A,Eastern Standard Time,70,22,48,72.93,86.2,8.2,91,3612,3,51.75,VT-73975,44.5382539,-72.8861212,49%,60%,42%,58%,54%,23.6,35,57,56,7,20.43,16.29,52.96%,50.99%,60.78%,49
Vergennes,Vermont,2607,1060,None,8027993,$63859,29.09%,44,N/A,N/A,N/A,49,64.35%,$966,54.43%,78,1452,9.47%,1.89%,72.81%,Addison County,59.00%,27.80%,0.0%,0.73%,96.36%,1.5%,2.95%,N/A,83,30,53,41.1,65.8,8.2,72,180,2.9,2.46,VT-74650,44.1663888,-73.2556473,49%,60%,42%,58%,54%,23.6,35,57,61,12,13.21,8.04,39.84%,43.63%,38.56%,25
Vershire,Vermont,720,20,Claremont-Lebanon,228819,$47500,27.24%,N/A,N/A,N/A,N/A,37,59.20%,N/A,50.10%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,1.40%,N/A,N/A,77,27,50,45.97,74.3,8.2,88,1080,3.1,36.0,VT-74950,43.9562337,-72.3243742,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,43.1%,50.0%,39.0%,35
Victory,Vermont,72,2,Berlin,40670,$45938,N/A,N/A,N/A,N/A,N/A,28,41.80%,N/A,62.50%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,79,25,54,47.41,141.7,8.2,91,1347,3,36.0,VT-75175,44.5466218,-71.8196909,49%,60%,42%,58%,54%,23.6,35,57,52,1,14.32,9.89,54.49%,50.44%,67.0%,84
Waitsfield,Vermont,238,372,Barre,66247,$31493,50.26%,48,N/A,N/A,N/A,59,44.96%,$704,68.66%,N/A,N/A,24.37%,0.0%,59.2%,Washington County,59.80%,25.70%,0.0%,0.0%,92.86%,7.14%,1.68%,N/A,78,29,49,53.79,118.2,8.2,92,1044,2.9,0.64,VT-75250,44.187527,-72.82901,49%,60%,42%,58%,54%,23.6,35,57,57,12,16.61,13.05,51.92%,49.89%,60.78%,69
Wallingford,Vermont,1029,620,Rutland,61186,$80667,25.21%,43,N/A,N/A,N/A,55,71.43%,$857,43.13%,N/A,N/A,3.69%,1.34%,72.51%,Rutland County,46.00%,42.10%,2.82%,0.0%,95.34%,1.75%,4.96%,N/A,81,30,51,44.71,73.4,7.9,92,621,2.9,1.66,VT-75850,43.4748359,-72.9675154,50%,58%,45%,57%,55%,22.7,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
Warren,Vermont,1716,43,Barre,66247,$62961,63.56%,N/A,N/A,N/A,N/A,38,20.90%,N/A,36.20%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,N/A,N/A,N/A,N/A,N/A,N/A,78,29,49,53.79,118.2,8.2,92,1506,2.9,39.91,VT-76525,44.1110811,-72.8607795,49%,60%,42%,58%,54%,23.6,35,57,57,12,16.61,13.05,45.53%,46.92%,47.22%,69
Washington,Vermont,1147,30,Claremont-Lebanon,228819,$53510,17.44%,N/A,N/A,N/A,N/A,35,72.60%,N/A,41.00%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,6.50%,N/A,N/A,77,27,50,45.97,118.2,8.2,91,1080,3.1,38.23,VT-76750,44.0711299,-72.422042,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,45.53%,46.92%,47.22%,69
Waterbury,Vermont,1857,1440,Barre,66247,$58810,46.63%,33,$310000,1325,$234,55,34.22%,$997,53.35%,N/A,N/A,18.93%,0.69%,70.12%,Washington County,59.80%,25.70%,6.25%,0.0%,90.36%,0.92%,3.66%,N/A,78,27,51,52.88,118.2,8.2,87,420,2.9,1.29,VT-76900,44.3406409,-72.751281,49%,60%,42%,58%,54%,23.6,35,57,58,10,15.87,11.38,51.92%,49.89%,60.78%,69
Waterbury village,Vermont,1857,1440,Barre,66247,$58810,46.63%,33,$310000,1325,$234,55,34.22%,$997,53.35%,N/A,N/A,18.93%,0.69%,70.12%,Washington County,59.80%,25.70%,6.25%,0.0%,90.36%,0.92%,3.66%,N/A,78,27,51,52.88,118.2,8.2,87,420,2.9,1.29,VT-76900,44.3406409,-72.751281,49%,60%,42%,58%,54%,23.6,35,57,58,10,15.87,11.38,51.92%,49.89%,60.78%,69
Weathersfield,Vermont,2767,63,Claremont-Lebanon,228819,$61447,26.68%,N/A,N/A,N/A,N/A,43,79.10%,N/A,39.40%,145,546,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,84,31,53,44.81,68.9,6.0,84,513,3.3,43.92,VT-77500,43.3883507,-72.4715332,55%,62%,53%,53%,51%,17.7,35,57,58,11,12.86,9.84,33.51%,36.48%,31.89%,27
Websterville,Vermont,380,191,Barre,66247,$60438,27.16%,35,N/A,N/A,N/A,78,97.89%,N/A,58.02%,N/A,N/A,15.77%,8.08%,81.48%,Washington County,59.80%,25.70%,0.0%,0.0%,95.53%,1.32%,8.16%,N/A,79,27,52,42.14,118.2,8.2,84,1029,2.9,1.99,VT-77800,44.1618639,-72.4733162,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
Wells,Vermont,448,567,Rutland,61186,$71442,22.92%,31,$291000,1132,$257,50,67.41%,$921,51.11%,N/A,N/A,9.6%,0.0%,57.84%,Rutland County,46.00%,42.10%,1.56%,0.0%,96.43%,0.0%,1.56%,N/A,84,31,53,44.92,73.4,7.9,88,108,2.9,0.79,VT-77875,43.420832,-73.2075484,50%,58%,45%,57%,55%,22.7,37,58,63,13,14.29,9.25,40.0%,40.44%,43.0%,33
Wells River,Vermont,409,216,Claremont-Lebanon,228819,$37083,16.42%,35,$285000,893,$319,62,56.72%,$720,58.75%,N/A,N/A,24.94%,4.4%,49.69%,Orange County,51.50%,34.20%,0.0%,0.0%,86.06%,2.2%,6.11%,N/A,77,27,50,45.97,88.5,8.2,86,1080,3.1,1.89,VT-78025,44.1537207,-72.0615879,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,46.93%,45.93%,53.33%,57
West Brattleboro,Vermont,3042,1855,None,8027993,$34696,35.32%,40,N/A,N/A,N/A,43,61.98%,$742,62.87%,N/A,N/A,19.23%,1.67%,69.01%,Windham County,63.40%,24.10%,2.99%,0.82%,88.26%,3.91%,2.14%,N/A,82,32,50,51.13,59.9,6.0,78,363,3.5,1.64,VT-78850,42.8558832,-72.6017523,55%,62%,53%,57%,57%,22.8,35,56,59,14,14.77,12.0,36.96%,37.8%,37.56%,29
West Burke,Vermont,253,538,None,8027993,$35500,20.51%,49,N/A,N/A,N/A,78,60.08%,$311,59.45%,N/A,N/A,21.43%,10.0%,55.81%,Caledonia County,45.80%,39.30%,0.0%,0.4%,92.09%,4.74%,0.4%,N/A,77,24,53,49.59,141.7,8.2,91,1371,3.1,0.47,VT-79150,44.6431642,-71.9790865,49%,60%,42%,58%,54%,23.6,35,57,57,6,15.11,10.54,54.49%,50.44%,67.0%,84
West Fairlee,Vermont,709,31,Claremont-Lebanon,228819,$50625,21.29%,N/A,N/A,N/A,N/A,44,58.30%,N/A,43.00%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,N/A,N/A,N/A,N/A,N/A,77,27,50,45.97,74.3,6.0,86,1080,3.1,22.87,VT-79975,43.9395169,-72.2269471,55%,62%,53%,53%,51%,17.7,35,57,56,7,13.98,9.99,43.1%,50.0%,39.0%,35
West Haven,Vermont,313,11,Rutland,61186,$49219,24.00%,N/A,N/A,N/A,N/A,40,67.50%,N/A,40.80%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,N/A,N/A,N/A,1.00%,N/A,N/A,84,31,53,44.92,73.4,8.2,88,108,2.9,28.45,VT-80875,43.6348749,-73.3687072,49%,60%,42%,58%,54%,23.6,37,58,63,13,14.29,9.25,40.0%,40.44%,43.0%,33
West Rutland,Vermont,2072,563,Rutland,61186,$51722,26.05%,47,$146000,1460,$100,65,82.38%,$883,48.29%,N/A,N/A,3.28%,2.68%,64.33%,Rutland County,46.00%,42.10%,0.0%,0.0%,93.29%,5.74%,4.01%,N/A,81,30,51,44.71,73.4,8.2,88,621,2.9,3.68,VT-82375,43.5971916,-73.0450722,49%,60%,42%,58%,54%,23.6,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
West Windsor,Vermont,1106,45,Claremont-Lebanon,228819,$66705,64.71%,N/A,N/A,N/A,N/A,39,46.20%,N/A,35.20%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,83,31,52,41.18,68.9,6.0,91,528,3.3,24.58,VT-83050,43.4846729,-72.4917885,55%,62%,53%,53%,51%,17.7,35,57,59,12,11.99,8.8,40.44%,49.23%,37.11%,27
Westford,Vermont,117,104,Burlington-South Burlington,231329,$74028,53.33%,45,N/A,N/A,N/A,38,96.58%,N/A,23.81%,N/A,N/A,0.0%,0.0%,63.81%,Chittenden County,65.70%,22.30%,0.0%,0.0%,87.18%,0.0%,0.0%,Eastern Standard Time,70,22,48,50.16,86.2,8.2,91,855,3,1.12,VT-80275,44.6079279,-73.0112841,49%,60%,42%,58%,54%,23.6,35,57,56,7,14.98,9.53,52.96%,50.99%,60.78%,49
Westminster village,Vermont,427,314,None,8027993,$80625,42.18%,45,N/A,N/A,N/A,78,87.12%,$894,38.46%,N/A,N/A,0.7%,0.58%,51.19%,Windham County,63.40%,24.10%,0.0%,0.0%,92.27%,2.81%,2.11%,N/A,82,32,50,48.23,59.9,6.0,81,552,3.5,1.36,VT-81325,43.0738945,-72.4550685,55%,62%,53%,53%,51%,17.7,35,57,59,14,15.14,10.76,36.96%,37.8%,37.56%,29
Weston,Vermont,33,183,Claremont-Lebanon,228819,$58542,71.43%,72,$250000,1572,$159,43,81.82%,N/A,63.64%,N/A,N/A,9.09%,0.0%,54.84%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,76,28,48,52.16,73.4,6.0,89,1554,3.3,0.18,VT-81925,43.2904973,-72.7923348,55%,62%,53%,53%,51%,17.7,35,57,58,9,14.75,12.4,40.44%,49.23%,37.11%,33
White River Junction,Vermont,2528,1080,Claremont-Lebanon,228819,$53903,30.02%,39,N/A,N/A,N/A,67,61.06%,$958,54.45%,N/A,N/A,11.96%,4.27%,69.15%,Windsor County,58.70%,28.80%,8.78%,0.2%,88.41%,1.11%,9.38%,N/A,84,32,52,40.34,68.9,6.0,54,546,3.3,2.34,VT-83575,43.6498784,-72.3289684,55%,62%,53%,53%,51%,17.7,35,57,59,11,13.18,7.66,40.99%,46.59%,37.67%,27
Wilder,Vermont,3146,1229,Claremont-Lebanon,228819,$64494,54.81%,46,$190000,896,$212,38,72.29%,$1324,57.65%,N/A,N/A,3.82%,5.62%,66.09%,Windsor County,58.70%,28.80%,1.88%,1.4%,88.72%,5.98%,10.65%,N/A,84,32,52,44.35,68.9,6.0,54,534,3.3,2.56,VT-84025,43.6802229,-72.316591,55%,62%,53%,53%,51%,17.7,35,57,61,14,13.73,9.25,40.99%,46.59%,37.67%,27
Williamstown,Vermont,1253,373,Claremont-Lebanon,228819,$71518,13.05%,42,$264000,1956,$135,47,93.7%,$775,43.15%,N/A,N/A,3.83%,0.53%,74.5%,Orange County,51.50%,34.20%,0.0%,0.0%,99.12%,0.88%,1.92%,N/A,79,27,52,42.14,118.2,8.2,86,1029,3.1,3.36,VT-84100,44.1218062,-72.542609,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
Williston,Vermont,9341,311,Burlington-South Burlington,231329,$77917,61.07%,N/A,N/A,N/A,N/A,26,77.50%,N/A,44.60%,71,1973,N/A,1.80%,N/A,Chittenden County,65.70%,22.30%,2.20%,1.78%,N/A,1.50%,N/A,Eastern Standard Time,83,30,53,39.59,86.2,8.2,84,303,3,30.04,VT-84475,44.4345501,-73.0888108,49%,60%,42%,58%,54%,23.6,35,57,63,15,12.2,7.12,43.81%,42.64%,48.67%,49
Windsor,Vermont,2042,1660,Claremont-Lebanon,228819,$40069,28.64%,37,$270000,1753,$154,78,47.23%,$947,60.83%,236,1006,5.18%,4.49%,69.74%,Windsor County,58.70%,28.80%,0.0%,0.0%,97.01%,1.91%,0.78%,N/A,81,29,52,40.34,68.9,6.0,82,522,3.3,1.23,VT-85000,43.4798138,-72.3935302,55%,62%,53%,53%,51%,17.7,35,57,58,10,13.18,7.66,40.99%,46.59%,37.67%,27
Winhall,Vermont,589,14,Bennington,39057,$54375,N/A,N/A,N/A,N/A,N/A,40,17.30%,N/A,37.10%,136,1232,N/A,2.60%,N/A,Bennington County,54.90%,34.10%,6.46%,N/A,N/A,1.00%,N/A,N/A,76,28,48,52.16,73.4,7.9,93,1554,3.4,42.07,VT-85075,43.1621722,-72.9349239,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,40.44%,49.23%,37.11%,33
Winooski,Vermont,7320,5229,Burlington-South Burlington,231329,$56236,47.36%,33,$400000,1153,$347,62,38.63%,$1231,62.98%,387,1672,22.47%,3.2%,70.63%,Chittenden County,65.70%,22.30%,11.37%,3.42%,81.8%,2.05%,14.81%,Eastern Standard Time,83,30,53,39.59,86.2,8.2,62,303,3,1.4,VT-85150,44.4948469,-73.1846022,49%,60%,42%,58%,54%,23.6,35,57,63,15,12.2,7.12,43.81%,42.64%,48.67%,49
Woodbury,Vermont,878,23,Barre,66247,$60938,34.30%,N/A,N/A,N/A,N/A,47,40.90%,N/A,41.70%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,N/A,N/A,N/A,2.30%,N/A,N/A,78,27,51,48.78,118.2,8.2,89,1245,2.9,38.17,VT-85525,44.4445609,-72.4068514,49%,60%,42%,58%,54%,23.6,35,57,58,10,15.24,10.68,48.82%,46.37%,56.0%,69
Woodford,Vermont,318,7,Bennington,39057,$41023,23.55%,N/A,N/A,N/A,N/A,48,33.10%,N/A,48.00%,N/A,N/A,N/A,2.60%,N/A,Bennington County,54.90%,34.10%,N/A,N/A,N/A,N/A,N/A,N/A,82,33,49,39.98,73.1,7.9,92,756,3.4,45.43,VT-85675,42.8827929,-73.0799628,50%,58%,45%,57%,55%,22.7,37,58,58,15,13.3,7.55,41.04%,45.16%,40.44%,47
Woodstock,Vermont,1091,925,Claremont-Lebanon,228819,$70268,66.3%,50,$1100000,3514,$313,57,71.09%,$979,56.38%,102,788,8.82%,1.39%,61.96%,Windsor County,58.70%,28.80%,0.0%,0.46%,95.6%,3.12%,5.22%,N/A,82,31,51,45.66,84.9,6.0,90,549,3.3,1.18,VT-85900,43.6238774,-72.5163776,55%,62%,53%,53%,51%,17.7,35,57,58,9,13.76,9.84,40.99%,46.59%,37.67%,34
Woodstock village,Vermont,1091,925,Claremont-Lebanon,228819,$70268,66.3%,50,$1100000,3514,$313,78,71.09%,$979,56.38%,102,788,8.82%,1.39%,61.96%,Windsor County,58.70%,28.80%,0.0%,0.46%,95.6%,3.12%,5.22%,N/A,82,31,51,45.66,84.9,6.0,90,549,3.3,1.18,VT-85900,43.6238774,-72.5163776,55%,62%,53%,53%,51%,17.7,35,57,58,9,13.76,9.84,40.99%,46.59%,37.67%,34
Worcester,Vermont,106,883,Barre,66247,$60833,41.94%,34,N/A,N/A,N/A,77,24.53%,$927,57.95%,N/A,N/A,0.0%,41.27%,71.59%,Washington County,59.80%,25.70%,1.89%,0.0%,96.23%,0.0%,3.77%,N/A,78,27,51,48.78,118.2,8.2,89,1245,2.9,0.12,VT-86050,44.3723929,-72.5489257,49%,60%,42%,58%,54%,23.6,35,57,58,10,15.24,10.68,48.82%,46.37%,56.0%,69
