City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930
Mehama,Oregon,Marion County,143,312,80,45,35,53,165,156,3,51.1,43.7,5,7,21,34,N/A,$71786,N/A,$377300,N/A,N/A,45,10%,63%,38%,76,23 mins,4.50%,-0.10%,-42.80%,42.20%,46.30%,N/A,N/A,89.29%,N/A,Salem,Pacific Standard Time,196,2.9,71.10%,18.30%,24,N/A,19,36.2%,22.8%,0%,0.00,0
Melrose,Oregon,Douglas County,672,155,85,48,37,35,146,179,1,50.4,43.2,N/A,9,24,54,N/A,$37153,N/A,$264100,N/A,N/A,39,9%,45%,19%,81,19 mins,5.40%,0.00%,-1.20%,26.30%,64.60%,2.62%,N/A,86.75%,1.30%,Roseburg,N/A,N/A,3.1,69.60%,46.00%,11,N/A,21,5%,12.6%,1.5%,0.00,0
Merlin,Oregon,Josephine County,1590,382,91,46,45,30,106,194,2,48.8,42.2,3,8,23,54,13.09%,$51552,$677,$319600,N/A,N/A,28,5%,49%,24%,77,20 mins,5.30%,1.10%,-16.60%,30.20%,60.40%,N/A,N/A,97.09%,N/A,Grants Pass,Pacific Standard Time,942,3.2,67.20%,40.10%,17,N/A,31,19.9%,20.0%,3.1%,6.74,0
Merrill,Oregon,Klamath County,715,1558,86,40,46,14,96,214,36,40.9,33.2,5,11,29,41,10.50%,$38846,$632,$165300,N/A,N/A,45,11%,37%,12%,89,16 mins,6.00%,-0.40%,-0.10%,23.60%,67.00%,N/A,N/A,95.66%,48.40%,Klamath Falls,N/A,N/A,3.2,60.90%,30.50%,41,N/A,N/A,21.5%,16.0%,30.1%,0.00,0
Metolius,Oregon,Jefferson County,1143,2391,85,40,45,11,77,153,14,41.6,34.1,5,10,28,26,7.03%,$33929,$979,$88000,N/A,N/A,32,9%,45%,17%,82,20 mins,4.80%,1.50%,48.40%,31.50%,58.00%,N/A,N/A,73.09%,37.30%,None,N/A,N/A,3,59.90%,40.70%,10,N/A,N/A,11%,15.9%,9.4%,0.00,0
Metzger,Oregon,Washington County,3876,5259,81,47,34,41,148,142,2,52.3,43.9,N/A,14,44,36,36.70%,$47098,$1125,$382000,N/A,N/A,42,3%,49%,46%,22,21 mins,3.50%,0.90%,11.40%,56.90%,30.90%,2.88%,N/A,84.95%,9.10%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,50.10%,48.90%,50,37,68,11.8%,22.0%,5.9%,0.00,0
Mill City,Oregon,Linn County,1774,2114,78,42,36,76,166,158,7,51,43.3,5,12,31,45,10.02%,$37472,$912,$197200,N/A,N/A,67,17%,58%,42%,76,28 mins,5.00%,1.40%,20.10%,30.60%,57.00%,N/A,N/A,80.42%,10.40%,Albany,Pacific Standard Time,213,3,48.40%,45.00%,41,N/A,40,12.3%,22.3%,5.5%,N/A,N/A
Millersburg,Oregon,Linn County,1959,439,83,46,37,43,154,154,4,51.3,43.9,N/A,8,22,40,29.84%,$68182,$1297,$384700,N/A,N/A,15,9%,54%,37%,63,20 mins,5.00%,1.40%,48.10%,30.60%,57.00%,3.90%,N/A,91.39%,23.80%,Albany,Pacific Standard Time,213,3,89.00%,35.10%,7,N/A,37,8.5%,18.6%,4.8%,0.00,0
Milton-Freewater,Oregon,Umatilla County,7051,3541,89,40,49,18,104,189,9,46.2,38.6,N/A,13,57,33,16.39%,$33082,$627,$172000,N/A,N/A,53,8%,33%,20%,83,18 mins,6.30%,-0.20%,1.90%,27.80%,61.80%,N/A,N/A,83.67%,49.30%,Hermiston-Pendleton,N/A,N/A,3.2,59.00%,46.60%,71,N/A,51,22.7%,18.9%,17.6%,0.00,0
Milwaukie,Oregon,Clackamas County,20627,4207,82,47,35,42,147,142,2,53.2,44.6,5,12,35,40,36.24%,$55827,$1173,$357000,N/A,N/A,51,3%,57%,48%,20,25 mins,3.90%,0.90%,1.20%,47.70%,41.30%,3.36%,N/A,88.49%,8.60%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,56.30%,56.20%,51,43,71,5.1%,21.5%,4.7%,N/A,N/A
Mission,Oregon,Umatilla County,860,113,89,40,49,14,103,192,15,44,36.4,N/A,15,41,28,17.75%,$29688,$556,$218900,N/A,N/A,34,10%,38%,26%,90,18 mins,6.30%,-0.20%,17.50%,27.80%,61.80%,3.29%,N/A,19.06%,11.50%,Hermiston-Pendleton,N/A,N/A,3.2,36.90%,62.10%,2,17,30,23.8%,11.7%,2.7%,0.00,0
Mitchell,Oregon,Wheeler County,75,59,85,41,44,13,83,203,9,40,33.6,7,13,33,64,5.68%,$28125,$763,$104500,N/A,N/A,71,8%,42%,16%,93,0 mins,4.70%,-2.10%,-38.50%,18.90%,72.20%,N/A,N/A,75.35%,N/A,None,N/A,N/A,2.8,74.60%,48.60%,21,N/A,20,17.6%,18.3%,2.7%,0.00,0
Molalla,Oregon,Clackamas County,8987,3691,81,46,35,51,169,141,1,52.6,44.5,5,14,41,34,11.56%,$52193,$1071,$331900,N/A,N/A,21,7%,59%,46%,63,35 mins,3.90%,0.90%,16.80%,47.70%,41.30%,N/A,N/A,92.45%,15.60%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,63.20%,46.10%,72,N/A,N/A,12%,22.7%,7.8%,2.49,0
Monmouth,Oregon,Polk County,9983,4603,83,46,37,43,149,154,4,51.7,44.2,4,9,29,23,36.49%,$35750,$1014,$290000,N/A,N/A,30,10%,60%,41%,63,21 mins,4.80%,-0.10%,7.50%,40.70%,47.00%,4.30%,3.24%,79.89%,15.90%,Salem,Pacific Standard Time,196,3,39.40%,65.30%,61,N/A,71,16.4%,20.5%,12.1%,2.09,0
Monroe,Oregon,Benton County,559,1107,82,46,36,53,154,156,5,51.4,44.2,4,10,27,44,12.56%,$37576,$748,$275300,N/A,N/A,43,9%,45%,42%,81,19 mins,3.80%,0.10%,-6.10%,59.90%,27.60%,2.34%,N/A,83.91%,17.20%,Corvallis,Pacific Standard Time,282,3.1,54.20%,40.80%,32,N/A,54,7.8%,17.1%,9.1%,15.75,0
Monument,Oregon,Grant County,75,147,91,43,48,14,74,206,12,40.9,34.9,5,11,28,65,5.88%,$22500,$613,$175500,N/A,N/A,65,8%,41%,15%,93,17 mins,5.00%,-1.60%,-40.00%,17.00%,74.00%,2.33%,N/A,95.35%,N/A,None,N/A,N/A,3.9,41.90%,45.60%,10,N/A,24,17.6%,21.4%,2.2%,0.00,0
Moro,Oregon,Sherman County,330,665,84,38,46,12,78,197,16,44.3,36.4,6,12,32,48,27.47%,$27917,$617,$155200,N/A,N/A,61,8%,39%,15%,91,22 mins,3.90%,-1.50%,13.80%,19.90%,72.00%,N/A,N/A,88.67%,4.20%,None,N/A,N/A,3,52.40%,53.40%,15,N/A,25,9.4%,18.8%,0.6%,0.00,0
Mosier,Oregon,Wasco County,594,1303,86,41,45,21,110,176,16,50.1,41.1,5,11,30,37,25.14%,$46875,$1098,$322500,N/A,N/A,27,8%,49%,25%,83,17 mins,3.50%,-1.40%,27.70%,40.00%,48.80%,1.98%,N/A,96.92%,47.30%,The Dalles,N/A,N/A,2.8,35.00%,42.00%,13,N/A,N/A,1.8%,17.0%,16%,0.00,0
Mount Angel,Oregon,Marion County,3453,3114,81,46,35,43,157,155,3,52.3,44.3,5,16,25,36,21.93%,$41984,$801,$340000,1404,$242,41,10%,64%,41%,66,24 mins,4.50%,-0.10%,6.10%,42.20%,46.30%,N/A,N/A,85.32%,30.70%,Salem,Pacific Standard Time,196,2.9,55.50%,51.90%,60,N/A,52,10.3%,19.8%,15.8%,0.00,0
Mount Hood,Oregon,Hood River County,238,124,84,39,45,31,111,145,46,49.6,41,5,7,20,15,N/A,$58750,N/A,$447100,N/A,N/A,16,7%,49%,32%,91,17 mins,3.30%,1.00%,-19.60%,59.70%,30.00%,N/A,N/A,97.83%,62.20%,Hood River,N/A,N/A,3,17.20%,6.50%,0,N/A,6,33.3%,9.0%,29.1%,0.00,0
Mount Hood Village,Oregon,Clackamas County,5041,193,80,41,39,57,159,140,21,47.2,39.7,N/A,12,39,51,27.57%,$57965,$1028,$286400,N/A,N/A,41,5%,56%,43%,81,28 mins,3.90%,0.90%,9.60%,47.70%,41.30%,1.55%,N/A,96.04%,4.80%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,44.00%,41.10%,17,N/A,N/A,5.2%,24.2%,3.1%,0.00,0
Mount Vernon,Oregon,Grant County,490,717,88,42,46,14,103,205,18,39.8,33.8,5,13,36,49,11.62%,$32540,$524,$121200,N/A,N/A,47,8%,41%,16%,92,17 mins,5.00%,-1.60%,-10.30%,17.00%,74.00%,N/A,N/A,98.94%,N/A,None,N/A,N/A,3.9,39.20%,55.60%,20,N/A,41,8.3%,13.8%,0.4%,0.00,0
Mulino,Oregon,Clackamas County,2744,199,81,46,35,49,165,142,1,52.8,44.5,5,9,25,34,29.35%,$69435,$981,$469800,N/A,N/A,39,8%,67%,45%,63,28 mins,3.90%,0.90%,25.70%,47.70%,41.30%,1.63%,N/A,86.68%,7.40%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,67.30%,44.30%,23,N/A,41,14.9%,19.0%,7.9%,0.00,0
Myrtle Creek,Oregon,Douglas County,3420,1366,86,48,38,35,144,177,2,50.4,43.2,3,13,37,41,8.50%,$39728,$687,$165400,N/A,N/A,45,9%,42%,18%,76,19 mins,5.40%,0.00%,-1.70%,26.30%,64.60%,N/A,N/A,92.82%,6.70%,Roseburg,N/A,N/A,3.1,58.00%,46.20%,44,N/A,17,30.1%,21.9%,1.1%,5.80,0
Myrtle Point,Oregon,Coos County,2488,1549,70,54,16,62,143,184,1,52.5,45.8,5,8,24,50,13.76%,$36506,$549,$157900,N/A,N/A,58,11%,39%,18%,84,19 mins,5.50%,-0.30%,-1.40%,33.40%,57.10%,N/A,N/A,84.82%,2.20%,Coos Bay,N/A,N/A,3.3,60.00%,51.40%,64,N/A,36,16.7%,16.6%,1.2%,4.01,0
Neahkahnie,Oregon,Tillamook County,72,110,68,50,18,95,186,134,1,53.1,45.9,7,11,31,67,N/A,$8942,N/A,$499000,N/A,N/A,38,7%,38%,16%,92,18 mins,4.00%,0.20%,-62.50%,41.80%,47.40%,N/A,N/A,100.00%,N/A,None,N/A,N/A,2.9,20.80%,79.20%,6,N/A,5,0%,11.4%,9.4%,0.00,0
Nehalem,Oregon,Tillamook County,463,1728,68,50,18,95,186,136,1,53.1,45.9,7,11,28,29,16.10%,$47500,$1000,$382900,N/A,N/A,49,6%,40%,16%,92,18 mins,4.00%,0.20%,153.00%,41.80%,47.40%,N/A,N/A,94.37%,N/A,None,N/A,N/A,2.9,48.50%,48.60%,44,N/A,N/A,4.9%,18.3%,0.8%,0.00,0
Nesika Beach,Oregon,Curry County,497,218,68,54,14,88,146,194,0,52.4,46.1,N/A,9,25,66,N/A,$56341,N/A,$260200,N/A,N/A,23,8%,35%,13%,92,14 mins,5.00%,-0.70%,20.10%,34.10%,57.20%,N/A,7.30%,92.70%,16.70%,Brookings,N/A,N/A,3.1,39.80%,33.00%,12,N/A,25,0%,11.1%,0%,0.00,0
Neskowin,Oregon,Tillamook County,193,139,74,48,26,77,172,143,3,51.6,45,4,8,23,68,N/A,$38309,N/A,$467500,N/A,N/A,41,5%,31%,9%,91,18 mins,4.00%,0.20%,36.90%,41.80%,47.40%,N/A,N/A,100.00%,9.30%,None,N/A,N/A,2.9,14.80%,17.10%,20,N/A,35,0%,43.6%,0%,0.00,0
Netarts,Oregon,Tillamook County,881,339,70,50,20,94,178,134,1,53.1,45.9,7,10,28,57,35.97%,$48088,$1106,$329500,N/A,N/A,36,7%,38%,16%,89,18 mins,4.00%,0.20%,16.80%,41.80%,47.40%,N/A,N/A,92.67%,5.20%,None,N/A,N/A,2.9,26.00%,49.90%,25,N/A,N/A,5.9%,14.6%,0.5%,0.00,0
New Hope,Oregon,Josephine County,1492,390,91,46,45,30,106,194,2,46.9,40.2,N/A,11,30,54,16.17%,$54782,$622,$332800,N/A,N/A,41,5%,51%,24%,72,20 mins,5.30%,1.10%,24.30%,30.20%,60.40%,N/A,N/A,95.10%,4.40%,Grants Pass,Pacific Standard Time,942,3.2,68.80%,34.50%,11,N/A,30,6.8%,9.0%,0.6%,0.00,0
Newberg,Oregon,Yamhill County,22898,3874,82,46,36,41,144,155,3,52.6,44.5,4,11,25,33,31.51%,$54856,$1125,$355600,N/A,N/A,35,7%,53%,43%,45,26 mins,4.00%,0.90%,6.90%,39.60%,47.70%,2.17%,N/A,87.51%,14.50%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,61.30%,52.00%,45,N/A,68,14.8%,23.9%,9.3%,1.35,0
Newport,Oregon,Lincoln County,10274,1148,70,51,19,77,169,156,1,52.7,46.3,8,20,81,44,27.18%,$40448,$896,$294400,N/A,N/A,39,9%,43%,16%,85,13 mins,4.50%,-0.20%,3.40%,49.50%,39.70%,1.69%,1.93%,80.63%,16.60%,Newport,N/A,N/A,2.9,43.80%,50.20%,90,N/A,55,10.9%,22.7%,8.8%,0.00,0
North Bend,Oregon,Coos County,9566,2432,68,52,16,61,148,186,0,52.5,46.2,6,9,72,42,23.08%,$43097,$904,$217900,N/A,N/A,50,8%,40%,18%,73,14 mins,5.50%,-0.30%,-1.50%,33.40%,57.10%,3.08%,N/A,86.47%,9.70%,Coos Bay,N/A,N/A,3.3,51.20%,47.40%,76,N/A,44,13.8%,20.4%,4.9%,9.30,0
North Plains,Oregon,Washington County,2100,1907,82,45,37,41,155,142,3,51.8,43.4,4,8,23,35,39.81%,$73750,$1112,$383900,N/A,N/A,23,6%,54%,50%,72,27 mins,3.50%,0.90%,8.90%,56.90%,30.90%,5.37%,N/A,88.85%,11.50%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,79.70%,42.70%,45,N/A,65,2.2%,18.1%,8.9%,0.00,0
North Powder,Oregon,Union County,580,924,85,37,48,15,109,190,39,41.3,33,5,13,34,37,11.44%,$34271,$783,$128900,N/A,N/A,40,10%,42%,26%,92,18 mins,4.60%,-0.30%,23.40%,25.10%,65.00%,N/A,N/A,96.59%,10.70%,La Grande,N/A,N/A,3.9,58.60%,32.50%,18,N/A,36,29.3%,21.3%,2.2%,0.00,0
Nyssa,Oregon,Malheur County,3174,2048,92,36,56,10,78,210,13,44.9,35.1,5,12,37,26,8.44%,$41741,$634,$130500,N/A,N/A,57,11%,48%,21%,82,21 mins,4.80%,-0.90%,-2.00%,21.50%,68.90%,N/A,N/A,90.07%,63.70%,Ontario,N/A,N/A,4,57.00%,47.40%,70,N/A,N/A,19.7%,19.7%,18.8%,3.09,0
Oak Grove,Oregon,Clackamas County,16648,4273,82,46,36,43,147,143,2,53,44.6,5,14,47,43,31.71%,$50435,$1342,$390500,N/A,N/A,47,5%,56%,47%,23,27 mins,3.90%,0.90%,-1.70%,47.70%,41.30%,1.18%,N/A,89.34%,7.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,62.10%,51.50%,48,38,65,8.3%,21.4%,7.2%,0.00,0
Oak Hills,Oregon,Washington County,11779,7527,81,47,34,40,156,142,2,52.3,43.9,N/A,12,42,35,57.52%,$76800,$1410,$601300,2194,$274,29,4%,46%,45%,39,26 mins,3.50%,0.90%,8.20%,56.90%,30.90%,15.65%,1.69%,75.34%,5.80%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,63.40%,43.40%,36,N/A,60,5.2%,20.4%,17.9%,0.00,0
Oakland,Oregon,Douglas County,733,1007,85,48,37,39,146,178,1,51.3,44.1,3,11,31,51,16.58%,$39844,$759,$201500,N/A,N/A,50,8%,47%,18%,75,19 mins,5.40%,0.00%,-34.40%,26.30%,64.60%,N/A,N/A,91.41%,N/A,Roseburg,N/A,N/A,3.1,52.20%,50.20%,39,N/A,N/A,14.6%,20.3%,0.5%,10.40,0
Oakridge,Oregon,Lane County,3228,1491,83,42,41,58,145,160,3,48.8,41.2,4,15,41,50,14.02%,$38381,$781,$315000,1800,$175,59,8%,59%,39%,83,20 mins,4.60%,1.10%,0.80%,53.50%,35.00%,N/A,N/A,90.22%,2.80%,Eugene,Pacific Standard Time,373,3.1,44.10%,59.30%,35,N/A,36,25%,14.6%,1.8%,0.00,0
Oatfield,Oregon,Clackamas County,13457,3942,82,46,36,43,147,141,2,51.4,43.2,N/A,12,38,48,33.74%,$67740,$1299,$392700,N/A,N/A,42,3%,53%,43%,23,26 mins,3.90%,0.90%,-1.20%,47.70%,41.30%,3.51%,1.33%,87.45%,5.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,80.40%,41.90%,59,N/A,N/A,2.7%,17.6%,7.8%,0.00,0
O'Brien,Oregon,Josephine County,285,55,92,48,44,44,104,194,7,45.7,39,N/A,0,0,65,N/A,$21797,N/A,$209100,N/A,N/A,41,5%,52%,23%,88,20 mins,5.30%,1.10%,24.50%,30.20%,60.40%,N/A,N/A,88.36%,N/A,Grants Pass,Pacific Standard Time,942,3.2,65.00%,54.00%,22,N/A,32,79.6%,51.0%,0%,N/A,N/A
Oceanside,Oregon,Tillamook County,330,318,70,50,20,94,178,134,1,53.9,46.9,7,11,29,61,N/A,$63702,N/A,$721700,N/A,N/A,28,7%,38%,16%,89,18 mins,4.00%,0.20%,61.80%,41.80%,47.40%,N/A,N/A,100.00%,7.30%,None,N/A,N/A,2.9,38.60%,56.00%,16,N/A,N/A,11.5%,13.6%,7.7%,0.00,0
Odell,Oregon,Hood River County,1857,920,85,41,44,22,114,145,17,49.6,41,5,9,24,31,13.49%,$56774,$585,$270200,N/A,N/A,31,7%,46%,33%,86,17 mins,3.30%,1.00%,-8.80%,59.70%,30.00%,N/A,N/A,76.64%,60.00%,Hood River,N/A,N/A,3,90.90%,40.70%,33,N/A,34,1.3%,18.0%,37.5%,0.00,0
Ontario,Oregon,Malheur County,10972,2124,92,36,56,11,79,207,13,44.6,34.8,5,25,88,32,17.47%,$26512,$691,$159300,N/A,N/A,43,6%,36%,14%,50,15 mins,4.80%,-0.90%,-3.00%,21.50%,68.90%,1.12%,N/A,90.87%,42.80%,Ontario,N/A,N/A,4,42.80%,56.80%,80,N/A,N/A,26.3%,17.1%,11.1%,9.76,0
Oregon City,Oregon,Clackamas County,35483,3592,82,46,36,43,147,143,2,52.7,44.5,5,11,36,38,26.32%,$59429,$1275,$415100,N/A,N/A,29,6%,53%,45%,32,29 mins,4.40%,0.90%,14.50%,47.70%,41.30%,1.18%,1.04%,91.06%,6.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,63.50%,46.00%,37,29,52,5.4%,21.7%,5.1%,4.33,0
Pacific City,Oregon,Tillamook County,964,259,71,49,22,79,172,134,1,53.5,46.9,4,12,32,61,21.95%,$31250,$1179,$341500,N/A,N/A,25,7%,38%,16%,91,18 mins,4.00%,0.20%,-11.20%,41.80%,47.40%,N/A,N/A,99.44%,9.30%,None,N/A,N/A,2.9,19.30%,37.90%,48,N/A,46,18%,23.1%,5%,0.00,0
Paisley,Oregon,Lake County,341,793,87,41,46,13,75,211,10,34.4,29.3,7,10,27,57,23.27%,$36484,$425,$107300,N/A,N/A,44,8%,42%,15%,95,0 mins,4.90%,-0.40%,13.30%,16.30%,76.90%,N/A,N/A,92.47%,2.10%,None,N/A,N/A,3.2,48.60%,38.70%,18,N/A,36,7.2%,9.0%,1.5%,0.00,0
Parkdale,Oregon,Hood River County,643,1027,84,39,45,31,111,145,46,46.6,38.2,5,11,28,28,N/A,$73417,N/A,$432200,N/A,N/A,51,7%,48%,33%,91,17 mins,3.30%,1.00%,124.00%,59.70%,30.00%,N/A,N/A,100.00%,59.70%,Hood River,N/A,N/A,3,85.70%,60.10%,33,N/A,40,0%,11.8%,31.7%,0.00,0
Pendleton,Oregon,Umatilla County,16709,1425,89,40,49,14,103,195,15,44.8,37.5,7,17,45,36,18.02%,$45930,$784,$193700,N/A,N/A,57,11%,37%,26%,81,13 mins,6.30%,-0.20%,0.40%,27.80%,61.80%,1.86%,2.03%,83.43%,10.00%,Hermiston-Pendleton,N/A,N/A,3.2,47.80%,54.10%,35,N/A,32,12.5%,17.2%,4.4%,5.39,0
Peoria,Oregon,Linn County,157,331,83,46,37,45,153,157,5,51.3,43.9,N/A,8,23,36,N/A,$0,N/A,$743200,N/A,N/A,78,12%,59%,41%,75,22 mins,5.00%,1.40%,100.00%,30.60%,57.00%,N/A,N/A,100.00%,N/A,Albany,Pacific Standard Time,213,3,86.30%,35.00%,43,N/A,22,0%,24.3%,0%,0.00,0
Philomath,Oregon,Benton County,4624,2393,82,46,36,59,162,159,6,51.3,44,4,10,25,35,40.23%,$55176,$899,$311200,N/A,N/A,41,10%,48%,41%,73,19 mins,3.80%,0.10%,2.40%,59.90%,27.60%,2.90%,2.45%,84.13%,9.10%,Corvallis,Pacific Standard Time,282,3.1,62.00%,40.60%,64,N/A,75,8%,18.8%,5.4%,6.57,0
Phoenix,Oregon,Jackson County,4522,3151,89,47,42,21,107,197,4,46.2,39,4,13,44,51,20.49%,$34478,$814,$279400,N/A,N/A,33,8%,54%,29%,65,18 mins,5.30%,1.50%,0.50%,40.70%,49.30%,1.51%,N/A,93.58%,5.30%,Medford,Pacific Standard Time,1298,3.2,59.20%,57.10%,74,N/A,79,6.8%,26.5%,4.3%,4.40,0
Pilot Rock,Oregon,Umatilla County,1351,923,89,41,48,14,105,194,18,43.5,36.2,6,10,23,36,15.18%,$41034,$759,$140400,N/A,N/A,57,11%,36%,24%,92,18 mins,6.30%,-0.20%,-12.10%,27.80%,61.80%,N/A,N/A,91.91%,7.90%,Hermiston-Pendleton,N/A,N/A,3.2,63.30%,46.90%,15,N/A,27,6.2%,17.5%,0.5%,6.25,0
Pine Grove,Oregon,Wasco County,103,17,85,39,46,13,86,177,14,45.5,37.2,5,9,25,63,N/A,$34500,N/A,$184100,N/A,N/A,32,7%,45%,24%,89,17 mins,3.50%,-1.40%,-38.70%,40.00%,48.80%,N/A,N/A,100.00%,N/A,The Dalles,N/A,N/A,2.8,76.00%,35.80%,0,N/A,3,0%,17.5%,0%,0.00,0
Pine Hollow,Oregon,Wasco County,544,245,85,39,46,20,109,177,30,46.3,37.8,5,11,28,65,N/A,$37313,N/A,$226200,N/A,N/A,25,8%,47%,26%,89,17 mins,3.50%,-1.40%,16.20%,40.00%,48.80%,N/A,1.64%,89.34%,7.20%,The Dalles,N/A,N/A,2.8,45.40%,38.40%,0,N/A,17,5.4%,20.7%,2.6%,0.00,0
Pistol River,Oregon,Curry County,126,214,68,54,14,88,146,194,0,52.4,46.1,10,13,36,62,N/A,$0,N/A,$314900,N/A,N/A,43,8%,36%,14%,92,14 mins,5.00%,-0.70%,77.50%,34.10%,57.20%,N/A,N/A,100.00%,N/A,Brookings,N/A,N/A,3.1,59.10%,73.00%,2,N/A,18,0%,N/A,0%,0.00,0
Plush,Oregon,Lake County,45,28,85,40,45,12,74,211,50,33.5,28.9,7,11,30,54,N/A,$49167,N/A,$146800,N/A,N/A,46,8%,42%,15%,95,0 mins,4.90%,-0.40%,-23.70%,16.30%,76.90%,N/A,N/A,92.63%,N/A,None,N/A,N/A,3.2,45.70%,44.20%,12,N/A,N/A,16.7%,9.0%,0%,0.00,0
Port Orford,Oregon,Curry County,1098,705,69,54,15,88,150,197,0,52.9,46.9,10,25,59,61,28.41%,$30920,$606,$225000,N/A,N/A,42,10%,38%,13%,94,14 mins,5.00%,-0.70%,4.70%,34.10%,57.20%,N/A,N/A,94.65%,5.80%,Brookings,N/A,N/A,3.1,57.10%,63.20%,47,N/A,N/A,17.7%,22.8%,2.4%,8.35,0
Portland,Oregon,Multnomah County,630331,4724,81,46,35,43,156,144,3,52.8,44.2,5,21,72,36,50.44%,$53230,$1248,$530000,1754,$302,58,2%,52%,51%,21,26 mins,3.60%,0.90%,11.20%,73.30%,17.00%,8.18%,5.80%,77.38%,9.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,49.90%,56.90%,67,52,82,9%,20.8%,13.9%,3.63,0
Powers,Oregon,Coos County,909,1554,80,52,28,81,126,184,2,52.2,45.6,5,14,37,48,6.98%,$25500,$413,$115800,N/A,N/A,55,10%,41%,19%,84,19 mins,5.50%,-0.30%,21.40%,33.40%,57.10%,N/A,N/A,85.05%,1.70%,Coos Bay,N/A,N/A,3.3,52.90%,47.90%,29,N/A,N/A,21.7%,18.5%,1.4%,0.00,0
Prairie City,Oregon,Grant County,741,747,85,38,47,17,109,211,42,39.1,32.2,5,6,20,48,27.38%,$31116,$738,$144100,N/A,N/A,47,8%,41%,15%,93,17 mins,5.00%,-1.60%,-31.00%,17.00%,74.00%,N/A,N/A,93.20%,N/A,None,N/A,N/A,3.9,60.10%,41.70%,32,N/A,48,10.2%,15.0%,0.6%,9.89,0
Prescott,Oregon,Columbia County,50,725,78,44,34,54,176,142,4,52.2,43.5,N/A,8,23,59,26.31%,$43125,$1025,$273400,N/A,N/A,60,6%,52%,41%,76,33 mins,5.10%,1.00%,13.60%,38.20%,49.70%,N/A,N/A,96.59%,4.00%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.9,61.20%,33.30%,2,N/A,14,0%,13.2%,0%,0.00,0
Prineville,Oregon,Crook County,9515,756,85,41,44,10,76,204,11,40.6,33.1,6,18,49,40,16.28%,$29249,$837,$222700,N/A,N/A,39,6%,51%,25%,85,23 mins,5.40%,-0.30%,0.70%,21.70%,69.90%,N/A,N/A,89.84%,11.40%,Prineville,N/A,N/A,3.1,52.20%,54.50%,50,N/A,75,17%,20.8%,3.7%,8.61,0
Prospect,Oregon,Jackson County,500,143,88,46,42,36,127,196,16,44.2,36.1,5,10,28,58,8.92%,$33036,$613,$189300,N/A,N/A,50,6%,51%,28%,82,18 mins,5.30%,1.50%,18.50%,40.70%,49.30%,N/A,N/A,91.18%,2.20%,Medford,Pacific Standard Time,1298,3.2,55.50%,39.30%,24,N/A,N/A,24.6%,19.9%,0.7%,0.00,0
Rainier,Oregon,Columbia County,2080,510,78,44,34,54,176,139,4,52.2,43.5,4,11,36,39,14.08%,$46750,$737,$289000,N/A,N/A,45,3%,55%,41%,76,26 mins,5.10%,1.00%,-1.60%,38.20%,49.70%,1.42%,N/A,81.35%,6.80%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.9,52.20%,51.80%,47,N/A,35,11.1%,17.1%,7.5%,22.14,0
Raleigh Hills,Oregon,Washington County,5762,3793,81,47,34,41,154,141,2,52.3,43.9,N/A,12,39,46,60.32%,$66581,$1162,$700000,2447,$286,48,1%,52%,43%,25,22 mins,3.50%,0.90%,-13.90%,56.90%,30.90%,8.95%,1.03%,86.30%,5.10%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,50.50%,49.40%,50,33,N/A,4.5%,17.3%,9.9%,0.00,0
