City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year
Owendale,Michigan,Huron County,261,351,80,28,52,33,134,173,43,57.1,38,9,6,10,31,6.59%,$35833,$542,$69800,N/A,N/A,58,5%,29%,15%,88,21 mins,5.30%,-0.70%,9.70%,28.70%,67.10%,N/A,N/A,86.50%,N/A,None,N/A,N/A,3.4,74.50%,53.80%,11,N/A,38,34.8%,17.7%,0.3%,0.00,7,1
Owosso,Michigan,Shiawassee County,14641,2790,82,30,52,33,119,171,35,57.8,39.2,8,22,36,34,N/A,$34994,N/A,$103700,N/A,N/A,65,7%,31%,16%,63,23 mins,5.30%,0.80%,-5.30%,36.80%,56.40%,N/A,N/A,N/A,4.20%,Owosso,N/A,N/A,3.2,51.30%,56.90%,75,N/A,53,15.6%,16.5%,0.9%,110.97,7,2
Owosso charter township,Michigan,Shiawassee County,4715,149,82,30,52,33,119,172,35,N/A,N/A,N/A,13,24,44,N/A,$51154,N/A,$131100,N/A,N/A,42,7%,31%,16%,79,27 mins,5.30%,0.80%,-2.70%,36.80%,56.40%,N/A,N/A,N/A,1.20%,Owosso,N/A,N/A,3.2,69.20%,43.20%,0,N/A,25,N/A,N/A,N/A,0.00,7,2
Oxford,Michigan,Oakland County,3528,2802,82,30,52,33,123,176,37,57.7,39.1,8,7,14,41,41.24%,$57244,$879,$264700,N/A,N/A,47,6%,30%,35%,68,26 mins,4.10%,-0.30%,2.30%,51.30%,43.20%,1.85%,N/A,95.28%,2.90%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,58.80%,47.50%,59,N/A,56,5.6%,18.1%,2.2%,81.28,7,2
Oxford charter township,Michigan,Oakland County,21626,640,82,30,52,33,123,178,37,N/A,N/A,N/A,10,12,40,N/A,$70694,N/A,$262700,N/A,N/A,26,6%,37%,36%,77,31 mins,4.10%,0.30%,9.60%,51.30%,43.20%,N/A,N/A,N/A,2.90%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,80.40%,38.50%,17,N/A,31,N/A,N/A,N/A,0.00,7,2
Palmer,Michigan,Marquette County,436,735,78,23,55,32,153,186,157,53,32.5,8,11,25,38,6.03%,$39375,$625,$61800,N/A,N/A,72,7%,35%,31%,94,17 mins,5.60%,0.00%,-21.00%,48.30%,44.10%,N/A,N/A,98.58%,N/A,Marquette,N/A,N/A,3.1,82.80%,40.20%,10,N/A,30,9.2%,15.5%,0%,31.95,0,0
Palmyra,Michigan,Lenawee County,2082,57,83,31,52,35,124,180,32,N/A,N/A,8,12,26,45,16.58%,$56016,$806,$140300,N/A,N/A,63,8%,35%,27%,80,27 mins,5.00%,0.80%,-14.40%,36.20%,57.10%,N/A,1.32%,90.08%,9.10%,Adrian,N/A,N/A,3.4,75.20%,47.80%,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Paradise,Michigan,Grand Traverse County,4995,94,82,29,53,34,150,165,106,N/A,N/A,7,13,24,36,19.83%,$48285,$787,$95100,N/A,N/A,26,8%,30%,25%,89,27 mins,3.70%,1.70%,7.30%,40.30%,52.70%,N/A,N/A,95.75%,N/A,Traverse City,N/A,N/A,3.2,78.80%,55.40%,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Parchment,Michigan,Kalamazoo County,1931,2103,84,32,52,36,136,159,62,58.5,39.7,8,19,48,34,26.95%,$37169,$754,$121200,N/A,N/A,63,8%,35%,21%,67,19 mins,4.40%,1.00%,1.30%,53.20%,40.40%,1.43%,8.65%,79.88%,3.20%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,55.30%,61.40%,48,N/A,N/A,18.8%,17.5%,1.8%,35.04,6,2
Park township (Ottawa Cnty),Michigan,Ottawa County,18549,966,82,32,50,37,120,162,80,N/A,N/A,N/A,14,23,43,N/A,$71455,N/A,$284700,N/A,N/A,34,8%,50%,46%,80,22 mins,3.70%,1.90%,3.50%,31.30%,61.50%,N/A,N/A,N/A,10.00%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,79.20%,32.00%,0,N/A,61,N/A,N/A,N/A,N/A,N/A,0
Park township (St. Joseph Cnty),Michigan,St. Joseph County,2575,74,83,31,52,38,137,174,42,N/A,N/A,N/A,11,23,46,N/A,$56188,N/A,$171400,N/A,N/A,49,12%,30%,15%,82,22 mins,6.60%,0.60%,-2.30%,31.40%,62.10%,N/A,N/A,N/A,1.20%,Sturgis,N/A,N/A,3.5,70.60%,38.80%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Parkdale,Michigan,Manistee County,670,433,80,30,50,35,139,163,94,55.8,36.6,N/A,13,29,57,9.86%,$35000,$539,$112400,N/A,N/A,48,5%,31%,15%,88,20 mins,5.70%,0.30%,31.90%,39.30%,54.60%,N/A,2.30%,96.89%,9.70%,None,N/A,N/A,3.1,51.40%,51.30%,1,N/A,10,12.9%,16.6%,3.7%,0.00,2,0
Parma,Michigan,Jackson County,657,626,82,31,51,34,128,172,42,58.4,39.4,8,12,26,38,15.34%,$50139,$811,$158100,N/A,N/A,64,11%,39%,34%,81,20 mins,4.90%,0.40%,-18.20%,36.80%,56.70%,N/A,2.99%,93.38%,3.30%,Jackson,Eastern Standard Time,841,3.2,70.10%,40.40%,32,N/A,36,6.8%,14.7%,2.3%,319.74,6,1
Parma township,Michigan,Jackson County,2706,75,82,30,52,34,127,175,43,N/A,N/A,N/A,12,26,44,N/A,$42333,N/A,$118000,N/A,N/A,44,11%,42%,30%,81,25 mins,4.90%,0.40%,-1.50%,36.80%,56.70%,N/A,N/A,N/A,N/A,Jackson,Eastern Standard Time,841,3.2,76.30%,43.90%,0,N/A,20,N/A,N/A,N/A,0.00,6,1
Pavilion,Michigan,Kalamazoo County,6352,181,84,32,52,36,138,161,53,N/A,N/A,N/A,11,20,42,21.25%,$57972,$907,$185400,N/A,N/A,37,9%,36%,25%,78,20 mins,4.40%,1.00%,3.70%,53.20%,40.40%,2.12%,1.79%,92.12%,1.20%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,83.10%,39.30%,0,N/A,31,N/A,N/A,N/A,N/A,N/A,2
Paw Paw,Michigan,Van Buren County,3414,1294,83,31,52,39,133,168,81,58.4,39.7,8,24,55,36,20.18%,$30524,$664,$146500,N/A,N/A,59,9%,27%,25%,81,20 mins,5.30%,0.40%,-2.50%,39.80%,53.80%,N/A,1.02%,92.69%,3.30%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,37.30%,61.80%,67,N/A,56,11.3%,14.8%,2.5%,246.91,7,1
Paw Paw Lake,Michigan,Berrien County,3817,744,82,33,49,38,129,175,79,59.5,40.4,8,14,28,47,24.23%,$49107,$736,$136000,N/A,N/A,56,10%,32%,16%,80,19 mins,5.00%,0.10%,22.30%,40.90%,53.70%,N/A,N/A,93.07%,1.20%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,48.10%,48.40%,8,N/A,26,19.5%,18.6%,1.5%,17.18,7,1
Paw Paw township,Michigan,Van Buren County,6892,197,83,31,52,39,134,168,82,N/A,N/A,N/A,15,28,43,N/A,$46673,N/A,$135000,N/A,N/A,52,9%,31%,27%,81,23 mins,5.30%,0.40%,-2.60%,39.80%,53.80%,N/A,N/A,N/A,5.00%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,49.40%,55.20%,1,N/A,31,N/A,N/A,N/A,0.00,7,1
Pearl Beach,Michigan,St. Clair County,2853,1321,83,32,51,33,129,177,32,57.9,39,9,10,21,57,20.36%,$57361,$898,$238800,N/A,N/A,48,10%,48%,22%,80,36 mins,5.50%,0.20%,-9.40%,31.50%,62.90%,N/A,N/A,99.27%,N/A,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,75.20%,34.90%,19,N/A,31,4.1%,16.6%,5.2%,0.00,7,1
Peck,Michigan,Sanilac County,663,638,81,29,52,31,110,174,38,57.3,38.3,10,11,5,39,11.25%,$37813,$592,$88800,N/A,N/A,59,10%,35%,20%,88,27 mins,N/A,N/A,N/A,25.30%,69.90%,N/A,N/A,97.20%,N/A,None,N/A,N/A,3.2,69.50%,50.20%,22,N/A,33,8.1%,17.0%,0.3%,112.52,6,1
Pellston,Michigan,Emmet County,883,453,78,26,52,31,149,156,97,54.6,35.1,9,15,32,35,13.57%,$35855,$850,$81500,N/A,N/A,36,8%,34%,19%,92,19 mins,4.60%,0.70%,8.10%,36.70%,55.90%,N/A,1.29%,85.30%,1.70%,None,N/A,N/A,3.2,61.90%,46.20%,37,N/A,34,10.2%,20.6%,0.4%,81.97,2,0
Peninsula,Michigan,Grand Traverse County,5702,204,80,28,52,32,140,165,116,N/A,N/A,N/A,9,18,56,65.29%,$71444,$1326,$452300,N/A,N/A,37,8%,37%,34%,86,20 mins,3.70%,1.70%,4.70%,40.30%,52.70%,N/A,N/A,94.55%,1.90%,Traverse City,N/A,N/A,3.2,65.90%,31.80%,72,N/A,71,N/A,N/A,N/A,N/A,N/A,0
Penn,Michigan,Cass County,1849,55,83,32,51,39,136,173,61,N/A,N/A,N/A,12,26,50,23.48%,$54219,$876,$110800,N/A,N/A,53,9%,33%,21%,82,25 mins,5.50%,0.90%,4.80%,32.20%,63.00%,2.90%,5.54%,85.31%,4.30%,South Bend-Mishawaka,Eastern Standard Time,700,3.5,45.00%,38.40%,0,N/A,24,N/A,N/A,N/A,N/A,N/A,2
Pennfield charter township,Michigan,Calhoun County,8837,258,84,32,52,36,137,169,55,N/A,N/A,N/A,26,62,44,N/A,$46650,N/A,$111700,N/A,N/A,53,8%,35%,16%,74,22 mins,5.20%,0.10%,-2.20%,41.00%,53.50%,N/A,N/A,N/A,3.50%,Battle Creek,Eastern Standard Time,830,3.2,71.40%,47.90%,5,N/A,34,N/A,N/A,N/A,0.00,7,1
Pentwater,Michigan,Oceana County,847,633,79,30,49,35,113,161,74,56.8,37.7,11,9,24,60,46.98%,$42938,$745,$198100,N/A,N/A,42,7%,44%,22%,89,22 mins,5.70%,0.50%,3.30%,33.30%,60.60%,N/A,N/A,99.20%,9.60%,None,N/A,N/A,3.4,30.10%,34.10%,53,N/A,62,8.7%,19.4%,1.6%,104.65,3,0
Pere Marquette charter township,Michigan,Mason County,2353,167,80,29,51,36,134,163,84,N/A,N/A,N/A,10,23,44,N/A,$48500,N/A,$128400,N/A,N/A,41,9%,31%,22%,86,17 mins,5.10%,0.30%,-1.30%,35.70%,57.50%,N/A,N/A,N/A,4.10%,Ludington,N/A,N/A,3.3,61.50%,38.90%,10,N/A,23,N/A,N/A,N/A,0.00,2,0
Perrinton,Michigan,Gratiot County,555,878,82,29,53,33,117,174,41,57.4,38.6,9,18,39,33,7.90%,$32917,$790,$155400,N/A,N/A,45,7%,38%,51%,85,29 mins,6.40%,-0.20%,90.70%,34.40%,60.00%,N/A,N/A,97.91%,18.40%,Alma,N/A,N/A,3.3,59.30%,58.40%,14,N/A,28,28.7%,14.8%,4.2%,210.53,5,1
Perry,Michigan,Shiawassee County,2135,766,82,30,52,33,127,175,44,57.8,39.1,8,14,18,35,15.97%,$42333,$759,$157500,N/A,N/A,48,7%,31%,16%,80,31 mins,5.30%,0.80%,-1.40%,36.80%,56.40%,N/A,1.01%,98.25%,5.70%,Owosso,N/A,N/A,3.2,62.20%,46.00%,42,N/A,39,2.5%,16.4%,0.8%,120.48,6,2
Perry township,Michigan,Shiawassee County,4236,135,82,30,52,33,125,172,42,N/A,N/A,N/A,9,18,41,N/A,$61563,N/A,$155700,N/A,N/A,34,7%,31%,16%,80,27 mins,5.30%,0.80%,-3.40%,36.80%,56.40%,N/A,N/A,N/A,1.20%,Owosso,N/A,N/A,3.2,75.40%,38.10%,0,N/A,25,N/A,N/A,N/A,0.00,6,2
Petersburg,Michigan,Monroe County,1253,2594,83,32,51,35,123,177,35,59.3,40.5,9,12,26,37,18.76%,$49952,$752,$170600,N/A,N/A,63,4%,43%,29%,80,29 mins,5.70%,0.90%,3.80%,36.00%,57.90%,N/A,1.00%,94.75%,2.30%,Monroe,Central Standard Time,593,3.6,72.40%,42.60%,28,N/A,33,8.5%,17.0%,1.7%,57.85,5,2
Petoskey,Michigan,Emmet County,5696,1110,78,28,50,33,153,157,111,55.1,35.6,8,10,16,44,38.97%,$40161,$714,$194100,N/A,N/A,43,9%,35%,23%,81,19 mins,4.60%,0.70%,-1.70%,36.70%,55.90%,N/A,N/A,92.68%,2.50%,None,N/A,N/A,3.2,40.40%,58.50%,81,N/A,58,5%,19.1%,1.9%,105.08,2,0
Pewamo,Michigan,Ionia County,585,585,82,30,52,34,126,169,44,57.8,39,9,12,26,36,12.58%,$40357,$604,$133300,N/A,N/A,59,8%,37%,26%,84,31 mins,5.00%,1.30%,3.20%,30.90%,61.50%,N/A,N/A,99.79%,1.50%,Ionia,N/A,N/A,3.4,79.70%,47.90%,26,N/A,38,3.5%,14.7%,1.1%,70.42,5,1
Pickford,Michigan,Chippewa County,1626,15,78,25,53,33,146,156,94,N/A,N/A,8,10,22,48,20.78%,$45054,$855,$82600,N/A,N/A,40,9%,27%,16%,95,22 mins,6.50%,1.00%,20.10%,34.60%,58.70%,N/A,N/A,91.58%,N/A,Sault Ste. Marie,N/A,N/A,3.2,66.70%,36.40%,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Pierson,Michigan,Montcalm County,210,843,82,29,53,37,131,163,64,57,38.2,8,19,41,27,14.43%,$37708,$842,$147100,N/A,N/A,56,13%,50%,48%,85,30 mins,5.30%,1.80%,28.80%,29.40%,63.20%,N/A,N/A,93.19%,3.80%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.3,46.80%,75.60%,13,N/A,28,11.6%,17.1%,0%,1,5,1
Pierson township,Michigan,Montcalm County,3216,93,82,29,53,37,131,164,64,N/A,N/A,N/A,13,24,45,N/A,$51875,N/A,$137600,N/A,N/A,30,12%,49%,41%,85,30 mins,5.30%,1.80%,0.70%,29.40%,63.20%,N/A,N/A,N/A,2.10%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.3,69.50%,42.90%,1,N/A,18,N/A,N/A,N/A,0.00,5,1
Pigeon,Michigan,Huron County,1227,1543,80,29,51,32,134,170,43,57.1,38,10,6,6,43,20.43%,$36827,$670,$125700,N/A,N/A,58,5%,31%,16%,89,21 mins,5.30%,-0.70%,24.60%,28.70%,67.10%,N/A,2.54%,95.15%,4.10%,None,N/A,N/A,3.4,58.10%,49.10%,47,N/A,48,15.5%,14.7%,0.5%,44.64,7,0
Pilgrim,Michigan,Benzie County,52,149,79,29,50,35,136,164,113,55.8,36.7,N/A,10,23,69,N/A,$95750,N/A,$483400,N/A,N/A,71,10%,47%,37%,88,26 mins,4.80%,1.60%,173.70%,40.20%,54.20%,N/A,N/A,100.00%,N/A,Traverse City,N/A,N/A,3.3,4.00%,36.50%,0,N/A,29,0%,9.0%,0%,0.00,2,0
Pinckney,Michigan,Livingston County,2571,1595,82,30,52,33,133,175,40,58,39.2,8,11,22,35,25.89%,$60139,$699,$269200,N/A,N/A,37,10%,41%,41%,77,33 mins,3.70%,0.20%,12.30%,32.30%,61.70%,N/A,N/A,97.63%,3.70%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.4,76.20%,46.20%,48,N/A,47,5.2%,19.1%,2.6%,223.33,6,2
Pinconning,Michigan,Bay County,1468,1705,82,29,53,32,122,167,41,57.2,38.5,9,8,20,39,9.49%,$29773,$679,$68900,N/A,N/A,56,5%,24%,6%,86,22 mins,5.50%,0.30%,23.70%,40.60%,53.20%,N/A,2.70%,96.99%,1.90%,Bay City,Eastern Standard Time,595,3.3,68.80%,63.10%,51,N/A,43,19.6%,18.2%,0%,223.70,6,1
Pinconning township,Michigan,Bay County,2239,61,82,29,53,32,122,170,41,N/A,N/A,N/A,11,24,44,N/A,$48962,N/A,$78300,N/A,N/A,45,5%,22%,7%,86,25 mins,5.50%,0.30%,-5.20%,40.60%,53.20%,N/A,N/A,N/A,4.30%,Bay City,Eastern Standard Time,595,3.3,80.60%,40.00%,0,N/A,25,N/A,N/A,N/A,0.00,6,1
Pine,Michigan,Montcalm County,2163,62,82,29,53,35,123,164,62,N/A,N/A,N/A,11,25,39,14.94%,$44821,$969,$118300,N/A,N/A,41,12%,50%,43%,85,28 mins,5.30%,1.80%,6.20%,29.40%,63.20%,N/A,N/A,99.04%,3.10%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.3,71.90%,37.80%,0,N/A,11,N/A,N/A,N/A,N/A,N/A,1
Pine Grove,Michigan,Van Buren County,2939,85,83,31,52,39,138,168,79,N/A,N/A,N/A,10,22,39,20.36%,$59089,$792,$129700,N/A,N/A,37,9%,31%,26%,83,28 mins,5.30%,0.40%,0.30%,39.80%,53.80%,N/A,N/A,97.92%,2.10%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,77.20%,35.70%,0,N/A,20,N/A,N/A,N/A,N/A,N/A,1
Pine River,Michigan,Gratiot County,2152,71,82,29,53,33,111,174,42,N/A,N/A,N/A,12,26,46,21.93%,$47727,$553,$99300,N/A,N/A,35,7%,43%,52%,80,20 mins,6.40%,-0.20%,-11.00%,34.40%,60.00%,N/A,1.12%,96.39%,1.70%,Alma,N/A,N/A,3.3,83.80%,47.10%,0,N/A,9,N/A,N/A,N/A,N/A,N/A,1
Pioneer,Michigan,Missaukee County,603,17,80,27,53,33,150,165,69,N/A,N/A,N/A,13,29,40,7.69%,$35250,$693,$110600,N/A,N/A,42,7%,30%,16%,89,29 mins,5.00%,0.40%,60.80%,21.40%,73.60%,N/A,N/A,97.09%,1.30%,Cadillac,N/A,N/A,3.3,52.30%,36.30%,0,N/A,21,N/A,N/A,N/A,N/A,N/A,1
Pipestone,Michigan,Berrien County,2335,66,83,32,51,38,130,173,78,N/A,N/A,N/A,12,26,45,21.54%,$52548,$800,$122100,N/A,N/A,49,10%,31%,16%,83,21 mins,5.00%,0.10%,6.60%,40.90%,53.70%,N/A,4.72%,86.78%,15.90%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,71.70%,43.20%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Pittsfield charter township,Michigan,Washtenaw County,37818,1389,83,31,52,35,139,179,45,N/A,N/A,N/A,13,27,35,N/A,$67183,N/A,$293000,N/A,N/A,25,9%,44%,49%,60,24 mins,3.90%,1.30%,10.90%,67.60%,26.60%,N/A,N/A,N/A,4.00%,Ann Arbor,Eastern Standard Time,664,3.3,54.20%,50.60%,3,0,26,N/A,N/A,N/A,0.00,5,2
Pittsford,Michigan,Hillsdale County,1440,41,83,31,52,36,124,178,38,N/A,N/A,8,10,23,43,17.59%,$42330,$786,$108600,N/A,N/A,65,14%,33%,15%,84,30 mins,5.20%,0.80%,-13.90%,24.10%,70.70%,N/A,N/A,94.72%,1.50%,Hillsdale,N/A,N/A,3.5,71.20%,38.60%,29,N/A,34,N/A,N/A,N/A,N/A,N/A,1
Plainfield charter township,Michigan,Kent County,33012,942,83,30,53,37,131,160,63,N/A,N/A,N/A,16,29,41,N/A,$59237,N/A,$234600,N/A,N/A,37,8%,60%,46%,72,21 mins,2.90%,2.00%,6.80%,44.60%,47.70%,N/A,N/A,N/A,3.80%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.4,81.20%,42.60%,1,0,20,N/A,N/A,N/A,0.00,5,1
Plainwell,Michigan,Allegan County,3789,1902,83,31,52,39,138,158,75,58.4,39.6,8,19,26,43,21.48%,$41417,$687,$138000,N/A,N/A,75,8%,43%,26%,79,23 mins,3.90%,0.90%,-1.90%,32.20%,60.90%,N/A,1.43%,95.43%,1.20%,Holland,N/A,N/A,3.4,64.70%,45.50%,45,N/A,40,13.2%,18.1%,0%,209.53,6,1
Platte,Michigan,Benzie County,394,11,79,29,50,35,139,164,116,N/A,N/A,N/A,12,25,50,31.59%,$47500,$1083,$198600,N/A,N/A,30,10%,50%,36%,92,26 mins,4.80%,1.60%,0.50%,40.20%,54.20%,N/A,1.32%,91.05%,11.90%,Traverse City,N/A,N/A,3.3,52.80%,37.90%,0,N/A,17,N/A,N/A,N/A,N/A,N/A,0
Pleasant Ridge,Michigan,Oakland County,2365,4201,84,32,52,33,126,176,34,57.9,39.6,9,12,20,46,75.77%,$100543,$1445,$331500,N/A,N/A,78,4%,35%,36%,52,22 mins,4.10%,0.30%,-7.50%,51.30%,43.20%,2.30%,2.10%,90.42%,1.60%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,89.60%,40.70%,76,N/A,56,2.7%,17.2%,7.9%,27.55,6,1
Plymouth,Michigan,Wayne County,9005,4071,83,31,52,33,139,177,44,58.9,40.1,9,12,17,40,56.48%,$67350,$871,$390000,1911,$204,59,7%,35%,48%,64,24 mins,6.50%,0.70%,-1.40%,66.40%,29.30%,N/A,1.51%,94.44%,1.60%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,60.20%,47.70%,92,N/A,64,2.2%,16.0%,4.8%,41.90,5,2
Plymouth charter township,Michigan,Wayne County,27043,1698,83,31,52,33,139,180,44,N/A,N/A,N/A,9,19,45,N/A,$80806,N/A,$336100,N/A,N/A,41,8%,46%,27%,69,25 mins,6.50%,0.70%,-2.20%,66.40%,29.30%,N/A,N/A,N/A,3.10%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,81.00%,40.00%,2,N/A,N/A,N/A,N/A,N/A,0.00,5,2
Pokagon,Michigan,Cass County,2122,62,83,32,51,40,137,173,69,N/A,N/A,N/A,10,22,48,16.85%,$48576,$717,$110800,N/A,N/A,46,9%,33%,20%,82,20 mins,5.50%,0.90%,-3.90%,32.20%,63.00%,N/A,8.22%,87.65%,2.00%,South Bend-Mishawaka,Eastern Standard Time,700,3.5,82.90%,42.90%,0,N/A,29,N/A,N/A,N/A,N/A,N/A,2
Polkton charter township,Michigan,Ottawa County,2631,67,80,30,50,35,127,162,72,N/A,N/A,N/A,10,21,36,N/A,$62344,N/A,$240100,N/A,N/A,44,8%,49%,45%,81,25 mins,3.70%,1.90%,12.70%,31.30%,61.50%,N/A,N/A,N/A,1.20%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,92.40%,38.60%,0,N/A,27,N/A,N/A,N/A,0.00,7,1
Ponshewaing,Michigan,Emmet County,38,432,77,26,51,32,150,159,100,55.1,35.6,N/A,10,23,45,N/A,$0,N/A,$241800,N/A,N/A,78,9%,32%,18%,91,19 mins,4.60%,0.70%,-28.30%,36.70%,55.90%,N/A,N/A,100.00%,N/A,None,N/A,N/A,3.2,14.50%,23.70%,6,N/A,58,0%,N/A,0%,0.00,2,0
Pontiac,Michigan,Oakland County,60039,3012,81,30,51,32,124,175,35,57.7,38.9,8,58,37,32,13.21%,$27632,$815,$70700,N/A,N/A,60,6%,37%,35%,60,21 mins,9.70%,0.30%,-1.60%,51.30%,43.20%,1.82%,50.68%,37.94%,18.10%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,34.80%,70.50%,41,N/A,46,27.1%,18.4%,8.7%,137.13,6,2
Port Austin,Michigan,Huron County,682,691,78,29,49,31,133,174,48,57.1,38,13,6,29,58,22.75%,$29079,$597,$121500,N/A,N/A,39,3%,30%,15%,89,19 mins,5.30%,-0.70%,34.80%,28.70%,67.10%,N/A,N/A,98.59%,1.50%,None,N/A,N/A,3.4,40.10%,58.20%,48,N/A,46,6.4%,17.7%,0.4%,80.78,7,0
Port Hope,Michigan,Huron County,225,223,76,29,47,31,137,170,44,57.1,38,13,12,27,62,12.87%,$36607,$706,$93100,N/A,N/A,61,5%,32%,15%,93,21 mins,5.30%,-0.70%,3.70%,28.70%,67.10%,N/A,N/A,95.65%,N/A,None,N/A,N/A,3.4,54.70%,39.90%,13,N/A,36,8.6%,16.6%,2.8%,340.43,8,0
Port Huron,Michigan,St. Clair County,29285,3615,80,30,50,34,130,180,37,58.2,39.3,9,42,39,36,15.63%,$32888,$780,$88400,N/A,N/A,65,10%,51%,13%,70,20 mins,7.40%,0.20%,-5.60%,31.50%,62.90%,1.66%,7.97%,82.59%,5.80%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,46.60%,60.60%,45,N/A,49,21.3%,17.5%,3.2%,131.47,7,1
Port Huron charter township,Michigan,St. Clair County,10408,811,80,30,50,34,130,177,37,N/A,N/A,N/A,22,35,39,N/A,$42730,N/A,$129300,N/A,N/A,41,10%,44%,22%,77,24 mins,5.50%,0.20%,-0.40%,31.50%,62.90%,N/A,N/A,N/A,5.60%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.5,60.00%,49.20%,8,N/A,27,N/A,N/A,N/A,0.00,6,1
Port Sanilac,Michigan,Sanilac County,567,666,78,29,49,33,120,171,40,57.3,38.3,10,6,5,57,24.03%,$36875,$718,$127900,N/A,N/A,47,10%,37%,21%,91,27 mins,5.60%,0.10%,0.50%,25.30%,69.90%,N/A,N/A,99.49%,4.40%,None,N/A,N/A,3.2,50.30%,45.20%,39,N/A,N/A,6%,17.8%,4%,149.50,7,1
Port Sheldon,Michigan,Ottawa County,4490,201,80,30,50,37,124,162,74,N/A,N/A,10,10,19,49,34.24%,$62264,$1035,$272700,N/A,N/A,29,8%,48%,45%,82,20 mins,3.70%,1.90%,4.40%,31.30%,61.50%,N/A,N/A,96.50%,6.00%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,74.30%,35.50%,7,N/A,59,N/A,N/A,N/A,N/A,N/A,0
Portage,Michigan,Kalamazoo County,48072,1489,84,32,52,36,139,159,47,58.5,39.7,8,10,43,37,45.54%,$55050,$839,$269900,2076,$130,42,6%,34%,26%,68,19 mins,4.00%,1.00%,4.70%,53.20%,40.40%,2.92%,5.25%,86.56%,4.00%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,63.00%,46.30%,18,N/A,47,6.6%,17.5%,5.5%,24.62,7,2
Portage charter township,Michigan,Houghton County,3190,28,77,23,54,32,150,186,202,N/A,N/A,N/A,12,23,35,N/A,$47538,N/A,$187200,N/A,N/A,44,7%,31%,15%,91,15 mins,6.20%,0.60%,1.30%,38.20%,53.80%,N/A,N/A,N/A,1.00%,Houghton,N/A,N/A,3.2,53.40%,46.70%,0,N/A,25,N/A,N/A,N/A,0.00,0,0
Porter township (Cass Cnty),Michigan,Cass County,3764,73,83,32,51,39,136,173,47,N/A,N/A,N/A,11,22,49,N/A,$47396,N/A,$188000,N/A,N/A,45,9%,33%,21%,81,26 mins,5.50%,0.90%,-1.80%,32.20%,63.00%,N/A,N/A,N/A,2.20%,South Bend-Mishawaka,Eastern Standard Time,700,3.5,65.80%,32.20%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,2
Porter township (Midland Cnty),Michigan,Midland County,1175,33,82,29,53,33,123,166,42,N/A,N/A,N/A,10,21,36,N/A,$48542,N/A,$110700,N/A,N/A,38,9%,24%,18%,85,28 mins,4.50%,0.00%,-8.80%,36.60%,55.70%,N/A,N/A,N/A,6.70%,Midland,Eastern Standard Time,627,3.3,85.90%,33.50%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
