City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year
Arcada,Michigan,Gratiot County,1725,54,82,29,53,33,112,174,42,N/A,N/A,N/A,12,27,45,22.55%,$51953,$772,$138800,N/A,N/A,41,8%,44%,54%,84,19 mins,6.40%,-0.20%,1.00%,34.40%,60.00%,N/A,N/A,97.05%,5.70%,Alma,N/A,N/A,3.3,76.20%,43.40%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Arcadia,Michigan,Manistee County,266,510,79,29,50,35,138,163,111,55.8,36.6,9,11,24,61,20.91%,$56667,$1300,$215100,N/A,N/A,50,9%,43%,18%,90,20 mins,5.70%,0.30%,-4.00%,39.30%,54.60%,N/A,N/A,98.58%,N/A,None,N/A,N/A,3.1,29.10%,30.80%,11,N/A,43,2.4%,16.7%,0%,72.20,2,0
Arcadia township (Lapeer Cnty),Michigan,Lapeer County,3104,89,82,30,52,33,116,172,35,N/A,N/A,N/A,11,20,46,N/A,$54946,N/A,$190400,N/A,N/A,36,8%,37%,26%,85,31 mins,6.10%,0.10%,-2.50%,28.20%,66.50%,N/A,N/A,N/A,2.00%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,91.60%,42.10%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,2
Argentine,Michigan,Genesee County,2626,1109,82,30,52,33,125,168,36,57.7,38.9,N/A,11,23,45,23.66%,$66607,$787,$292300,N/A,N/A,40,9%,49%,34%,79,32 mins,6.10%,0.40%,17.20%,52.00%,42.60%,N/A,N/A,97.91%,1.30%,Flint,Eastern Standard Time,771,3.3,75.20%,45.90%,0,N/A,N/A,10.5%,17.2%,0.7%,0.00,6,2
Argentine township,Michigan,Genesee County,6652,192,82,30,52,33,125,171,38,N/A,N/A,N/A,13,16,43,N/A,$61250,N/A,$237200,N/A,N/A,34,7%,48%,32%,79,33 mins,6.10%,0.40%,-3.90%,52.00%,42.60%,N/A,N/A,N/A,2.20%,Flint,Eastern Standard Time,771,3.3,82.10%,42.60%,14,N/A,N/A,N/A,N/A,N/A,0.00,6,2
Arlington,Michigan,Van Buren County,2204,64,82,33,49,38,131,168,83,N/A,N/A,N/A,14,30,40,12.08%,$34000,$800,$117900,N/A,N/A,41,9%,29%,25%,84,29 mins,5.30%,0.40%,3.40%,39.80%,53.80%,N/A,1.29%,85.76%,15.40%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,61.70%,48.90%,0,N/A,34,N/A,N/A,N/A,N/A,N/A,1
Armada,Michigan,Macomb County,1855,2517,82,30,52,34,118,176,34,58.4,39.7,9,7,11,43,18.18%,$55521,$827,$221800,N/A,N/A,52,4%,38%,32%,80,34 mins,5.00%,0.20%,3.10%,42.00%,53.60%,N/A,N/A,96.95%,3.20%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,78.70%,48.40%,42,N/A,49,6.6%,17.0%,3.6%,55.56,7,1
Armada township,Michigan,Macomb County,5476,150,82,30,52,34,118,179,34,N/A,N/A,9,10,19,45,N/A,$74866,N/A,$228900,N/A,N/A,41,8%,44%,31%,80,33 mins,5.00%,0.20%,1.40%,42.00%,53.60%,N/A,N/A,N/A,3.10%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,90.00%,42.20%,0,N/A,25,N/A,N/A,N/A,0.00,7,1
Ash,Michigan,Monroe County,7705,223,83,31,52,34,124,180,42,N/A,N/A,N/A,12,23,45,17.11%,$52656,$738,$172500,N/A,N/A,40,6%,47%,28%,75,26 mins,5.70%,0.90%,-1.90%,36.00%,57.90%,N/A,N/A,96.11%,3.00%,Monroe,Central Standard Time,593,3.6,79.70%,45.10%,3,N/A,26,N/A,N/A,N/A,N/A,N/A,1
Ashley,Michigan,Gratiot County,494,737,82,30,52,33,124,171,39,57.4,38.6,9,14,30,51,8.44%,$40417,$628,$86500,N/A,N/A,50,7%,39%,53%,85,23 mins,6.40%,-0.20%,-19.90%,34.40%,60.00%,N/A,3.05%,95.81%,1.60%,Alma,N/A,N/A,3.3,70.10%,56.30%,26,N/A,39,17.6%,20.0%,1.5%,215.52,5,1
Assyria,Michigan,Barry County,2105,59,83,32,51,37,139,160,57,N/A,N/A,N/A,11,24,45,15.54%,$57902,$808,$173100,N/A,N/A,42,11%,49%,40%,82,32 mins,4.10%,1.90%,4.80%,29.90%,62.90%,N/A,N/A,98.84%,1.90%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,78.20%,38.80%,0,N/A,24,N/A,N/A,N/A,N/A,N/A,2
Athens,Michigan,Calhoun County,1126,1118,82,31,51,36,140,168,53,58.7,39.8,9,12,26,39,12.65%,$46833,$685,$105200,N/A,N/A,65,9%,37%,16%,81,28 mins,5.20%,0.10%,0.90%,41.00%,53.50%,N/A,2.27%,93.95%,1.80%,Battle Creek,Eastern Standard Time,830,3.2,67.10%,51.60%,24,N/A,33,10.7%,16.0%,0.2%,100.18,7,1
