City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Gordon,Pennsylvania,969,1642,Pottsville,140709,82,34,48,50,124,189,37,59.1,39.6,6,11,20,38,20.93%,$56691,6.4%,$633,N/A,N/A,N/A,N/A,78,93.4%,3%,10%,11%,83,23 mins,2.08%,-1.10%,0.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.62%,N/A,N/A,3.7,53.70%,7,N/A,7,16.8%,0.00,17,1,2,N/A,N/A,PA-30128,0.59,61.19%
Grier City,Pennsylvania,239,498,Pottsville,140709,81,33,48,52,127,193,41,59,39.6,N/A,5,10,71,16.9%,$76985,2.51%,N/A,N/A,$285000,2007,$142,78,100.0%,3%,9%,10%,83,25 mins,0.0%,-1.10%,223.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,22.50%,1,N/A,18,22.9%,0.00,19,1,2,N/A,N/A,PA-31536,0.48,43.83%
Heckscherville,Pennsylvania,237,718,Pottsville,140709,84,36,48,50,125,193,37,59,39.6,7,12,23,31,12.59%,$53047,7.59%,N/A,N/A,N/A,N/A,N/A,78,81.43%,3%,10%,11%,81,25 mins,14.04%,-1.10%,-56.10%,Schuylkill County,26.50%,69.40%,0.0%,2.95%,90.3%,6.75%,0.0%,N/A,N/A,3.7,62.00%,0,N/A,N/A,12.4%,0.00,18,1,10,N/A,N/A,PA-33528,0.33,77.03%
Hegins,Pennsylvania,1205,603,Pottsville,140709,83,34,49,47,127,193,34,59,39.6,7,10,17,33,26.34%,$76032,2.24%,$733,N/A,$148000,1233,$120,67,61.83%,7%,15%,10%,80,25 mins,2.13%,-1.10%,22.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,37.40%,16,N/A,30,16.4%,0.00,17,1,1,N/A,N/A,PA-33576,2.0,85.99%
Hegins township,Pennsylvania,1205,603,Pottsville,140709,83,35,48,46,124,193,32,N/A,N/A,N/A,11,17,33,26.34%,$76032,2.24%,$733,N/A,$148000,1233,$120,63,61.83%,3%,9%,10%,80,28 mins,2.13%,-1.10%,-1.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,42.30%,5,N/A,1,N/A,0.00,17,1,1,N/A,N/A,PA-33576,2.0,85.99%
Hometown,Pennsylvania,1540,770,Pottsville,140709,84,36,48,52,124,190,38,59,39.6,6,8,14,46,23.7%,$91250,0.0%,$777,N/A,$173000,1362,$127,51,94.09%,3%,10%,11%,83,25 mins,3.63%,-1.10%,-19.90%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.57%,0.0%,0.0%,N/A,N/A,3.7,27.00%,34,N/A,36,17.7%,0.00,20,1,2,N/A,N/A,PA-35448,2.0,78.31%
Hubley,Pennsylvania,715,54,Pottsville,140709,83,35,48,45,124,193,30,N/A,N/A,7,11,21,N/A,14.77%,$42000,N/A,N/A,N/A,N/A,N/A,N/A,76,64.30%,3%,9%,10%,80,27 mins,5.40%,-1.10%,-18.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.7%,0.3%,N/A,N/A,N/A,3.7,41.10%,3,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-36072,13.24,N/A
Kelayres,Pennsylvania,429,3575,Pottsville,140709,79,32,47,50,126,193,47,59,39.6,6,12,22,34,7.72%,$50481,18.41%,$740,N/A,N/A,N/A,N/A,78,79.25%,3%,10%,10%,83,25 mins,8.8%,-1.10%,-13.00%,Schuylkill County,26.50%,69.40%,1.86%,7.23%,85.78%,12.35%,5.13%,N/A,N/A,3.7,44.90%,27,N/A,38,18.6%,0.00,19,1,1,N/A,N/A,PA-39056,0.12,71.84%
Klingerstown,Pennsylvania,96,200,Pottsville,140709,84,35,49,43,125,197,30,59,39.6,7,10,18,51,27.42%,$60417,5.21%,$646,N/A,N/A,N/A,N/A,78,36.46%,3%,9%,10%,81,25 mins,0.0%,-1.10%,-38.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,91.67%,8.33%,0.0%,N/A,N/A,3.7,41.70%,0,N/A,23,9.0%,0.00,17,1,0,N/A,N/A,PA-40136,0.48,62.07%
Lake Wynonah,Pennsylvania,2697,851,Pottsville,140709,85,37,48,49,123,195,32,59.6,40.3,6,8,15,48,32.12%,$76298,3.08%,N/A,N/A,$266000,1739,$153,26,98.78%,4%,10%,10%,78,37 mins,1.74%,-1.10%,-2.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.81%,2.04%,1.89%,N/A,N/A,3.7,37.50%,0,N/A,N/A,19.1%,0.00,19,1,21,N/A,N/A,PA-41099,3.17,62.49%
Landingville,Pennsylvania,292,340,Pottsville,140709,85,37,48,49,122,195,27,59,39.6,6,8,15,41,23.3%,$71813,19.18%,$843,N/A,N/A,N/A,N/A,74,73.97%,3%,10%,10%,78,25 mins,1.49%,-1.10%,-46.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.63%,0.34%,0.0%,N/A,N/A,3.7,41.10%,3,N/A,18,14.1%,0.00,19,1,21,N/A,N/A,PA-41264,0.86,64.42%
