City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Pequea,Pennsylvania,4752,354,Lancaster,546192,$66845,21.92%,N/A,N/A,N/A,N/A,45,82.90%,N/A,36.00%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.3%,2.4%,93.8%,1.9%,N/A,Eastern Standard Time,85,38,47,43,122,198,20,N/A,N/A,7,68,351,3.8,13.42,PA-59360
Providence,Pennsylvania,6991,352,Lancaster,546192,$44712,10.65%,N/A,N/A,N/A,N/A,31,75.20%,N/A,41.80%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.4%,0.0%,87.1%,10.1%,N/A,Eastern Standard Time,85,38,47,43,123,198,24,N/A,N/A,7,68,351,3.8,19.86,PA-62832
Quarryville,Pennsylvania,2760,2140,Lancaster,546192,$64688,20.56%,32,$394000,2031,$194,54,59.17%,$1022,42.30%,N/A,N/A,11.43%,4.03%,66.34%,Lancaster County,37.20%,56.30%,7.07%,4.02%,79.06%,8.84%,7.97%,Eastern Standard Time,85,38,47,47,127,201,29,61.3,42.3,7,70,351,3.8,1.29,PA-63064
Rapho,Pennsylvania,11654,246,Lancaster,546192,$73788,23.62%,N/A,N/A,N/A,N/A,35,80.00%,$1280,37.30%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.1%,0.2%,93.4%,5.7%,N/A,Eastern Standard Time,85,38,47,43,121,198,21,N/A,N/A,N/A,67,351,3.8,47.37,PA-63440
Reamstown,Pennsylvania,3338,1477,Lancaster,546192,$69142,19.59%,47,$174000,1438,$121,40,90.8%,$876,41.10%,N/A,N/A,2.37%,1.72%,61.71%,Lancaster County,37.20%,56.30%,3.03%,0.0%,96.02%,0.81%,5.57%,Eastern Standard Time,85,37,48,44,117,200,25,61.3,42.3,7,62,351,3.8,2.26,PA-63664
Refton,Pennsylvania,597,498,Lancaster,546192,$101563,30.56%,33,N/A,N/A,N/A,64,61.47%,$1044,35.00%,N/A,N/A,0.0%,0.0%,66.43%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,122,198,20,61.3,42.3,7,70,351,3.8,1.2,PA-64032
Reinholds,Pennsylvania,1978,2150,Lancaster,546192,$78693,22.66%,38,$340000,2411,$141,35,92.62%,$1069,43.40%,N/A,N/A,8.65%,1.71%,66.73%,Lancaster County,37.20%,56.30%,0.0%,3.34%,91.71%,8.29%,0.0%,Eastern Standard Time,85,37,48,47,119,198,26,61.3,42.3,7,70,351,3.8,0.92,PA-64112
Rheems,Pennsylvania,2836,1983,Lancaster,546192,$67449,23.89%,36,$260000,1745,$149,32,45.85%,$1356,36.70%,N/A,N/A,3.3%,4.57%,73.67%,Lancaster County,37.20%,56.30%,0.0%,0.0%,89.1%,10.9%,1.27%,Eastern Standard Time,85,38,47,42,120,198,22,61.1,42.1,7,65,351,3.8,1.43,PA-64392
Ronks,Pennsylvania,139,207,Lancaster,546192,$56188,0.0%,48,N/A,N/A,N/A,66,43.17%,N/A,45.40%,N/A,N/A,10.79%,0.0%,56.57%,Lancaster County,37.20%,56.30%,0.0%,0.0%,80.58%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,124,198,25,61.3,42.3,7,58,351,3.8,0.67,PA-65984
Rothsville,Pennsylvania,2916,1185,Lancaster,546192,$88750,31.21%,41,$230000,1679,$137,33,77.23%,$890,35.80%,N/A,N/A,2.95%,2.1%,79.55%,Lancaster County,37.20%,56.30%,0.0%,5.25%,89.95%,2.06%,1.27%,Eastern Standard Time,85,38,47,43,121,198,21,61.3,42.3,7,61,351,3.8,2.46,PA-66392
Sadsbury township (Lancaster Cnty),Pennsylvania,3483,178,Lancaster,546192,$66637,N/A,N/A,N/A,N/A,N/A,42,77.40%,N/A,34.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.1%,0.3%,96.3%,1.5%,N/A,Eastern Standard Time,85,38,47,46,127,198,29,N/A,N/A,N/A,73,351,3.8,19.57,PA-67096
Salisbury township (Lancaster Cnty),Pennsylvania,11385,29961,Lancaster,546192,$60069,N/A,N/A,$200000,1538,$130,37,76.30%,N/A,35.20%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.5%,0.3%,95.3%,2.8%,N/A,Eastern Standard Time,85,38,47,46,126,198,28,N/A,N/A,N/A,73,351,3.8,0.38,PA-67568
Salunga,Pennsylvania,3433,1907,Lancaster,546192,$63542,48.84%,45,$415000,2331,$178,46,84.27%,$795,36.50%,N/A,N/A,1.79%,17.17%,74.09%,Lancaster County,37.20%,56.30%,4.28%,6.9%,74.72%,11.07%,6.15%,Eastern Standard Time,85,38,47,43,121,198,21,61.3,42.3,7,62,351,3.8,1.8,PA-67656
Schoeneck,Pennsylvania,950,307,Lancaster,546192,$64111,11.69%,37,N/A,N/A,N/A,47,84.11%,$750,25.50%,N/A,N/A,3.16%,0.0%,71.0%,Lancaster County,37.20%,56.30%,0.0%,0.0%,97.16%,2.84%,0.0%,Eastern Standard Time,85,38,47,45,119,198,27,61.3,42.3,7,70,351,3.8,3.09,PA-68200
Smoketown,Pennsylvania,38,67,Lancaster,546192,$110250,42.11%,63,N/A,N/A,N/A,33,100.0%,$1310,20.70%,N/A,N/A,0.0%,0.0%,89.47%,Lancaster County,37.20%,56.30%,15.79%,0.0%,84.21%,0.0%,10.53%,Eastern Standard Time,85,38,47,43,123,198,22,61.2,42.2,7,58,351,3.8,0.57,PA-71504
Soudersburg,Pennsylvania,996,874,Lancaster,546192,$46932,15.73%,21,$240000,1224,$196,68,82.23%,$847,50.00%,N/A,N/A,4.22%,0.0%,43.11%,Lancaster County,37.20%,56.30%,0.0%,0.0%,96.99%,3.01%,3.01%,Eastern Standard Time,85,38,47,43,125,198,25,61.3,42.3,7,60,351,3.8,1.14,PA-71848
Stevens,Pennsylvania,471,302,Lancaster,546192,$39032,13.16%,24,N/A,N/A,N/A,37,63.91%,$1048,38.50%,N/A,N/A,33.97%,14.83%,55.29%,Lancaster County,37.20%,56.30%,0.0%,17.83%,66.03%,16.14%,0.0%,Eastern Standard Time,85,38,47,44,120,198,25,61.3,42.3,7,63,351,3.8,1.56,PA-74040
Strasburg,Pennsylvania,4282,4460,Lancaster,546192,$77500,39.71%,N/A,$390000,1773,$220,39,81.90%,N/A,32.80%,N/A,N/A,7%,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,2.1%,Eastern Standard Time,85,38,47,43,124,198,24,61.3,42.3,7,70,351,3.8,0.96,PA-74720
Strasburg borough,Pennsylvania,2907,3028,Lancaster,546192,$61118,N/A,N/A,$390000,1773,$220,54,68.30%,N/A,37.00%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.9%,0.6%,87.1%,9.6%,N/A,Eastern Standard Time,85,38,47,43,124,195,25,N/A,N/A,N/A,70,351,3.8,0.96,PA-74720
Swartzville,Pennsylvania,2729,1869,Lancaster,546192,$101680,22.69%,39,$275000,1335,$206,29,70.14%,$1122,56.00%,N/A,N/A,12.79%,1.31%,66.64%,Lancaster County,37.20%,56.30%,0.92%,0.0%,72.15%,26.93%,17.92%,Eastern Standard Time,85,38,47,45,119,198,28,61.3,42.3,7,66,351,3.8,1.46,PA-75664
Terre Hill,Pennsylvania,1163,2528,Lancaster,546192,$61563,10.54%,34,$314000,1869,$168,76,72.91%,$979,43.70%,N/A,N/A,8.94%,3.26%,69.5%,Lancaster County,37.20%,56.30%,0.0%,0.0%,95.1%,4.9%,0.34%,Eastern Standard Time,85,38,47,47,126,195,28,61.3,42.3,7,70,351,3.8,0.46,PA-76400
Upper Leacock,Pennsylvania,8879,490,Lancaster,546192,$61055,21.62%,N/A,N/A,N/A,N/A,46,58.30%,N/A,37.80%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,4.2%,1.0%,85.7%,6.9%,N/A,Eastern Standard Time,85,38,47,43,124,198,25,N/A,N/A,N/A,66,351,3.8,18.12,PA-79080
Wakefield,Pennsylvania,512,301,Lancaster,546192,$72727,14.13%,27,N/A,N/A,N/A,44,85.74%,$1068,44.20%,N/A,N/A,5.66%,4.52%,56.73%,Lancaster County,37.20%,56.30%,0.0%,0.0%,96.68%,3.32%,0.0%,Eastern Standard Time,86,39,47,44,120,198,18,61.3,42.3,N/A,74,351,3.8,1.7,PA-80480
Warwick township (Lancaster Cnty),Pennsylvania,18474,934,Lancaster,546192,$71050,N/A,N/A,N/A,N/A,N/A,30,70.90%,N/A,35.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.3%,1.0%,89.8%,5.8%,N/A,Eastern Standard Time,85,38,47,43,121,198,21,N/A,N/A,N/A,61,351,3.8,19.78,PA-81168
Washington Boro,Pennsylvania,881,456,Lancaster,546192,$96094,19.29%,37,$240000,1304,$184,69,100.0%,N/A,29.90%,N/A,N/A,2.27%,4.58%,77.23%,Lancaster County,37.20%,56.30%,0.0%,0.0%,96.03%,0.0%,0.91%,Eastern Standard Time,85,38,47,43,122,198,20,61.3,42.3,7,69,351,3.8,1.93,PA-81360
West Cocalico,Pennsylvania,7412,271,Lancaster,546192,$62698,15.29%,N/A,N/A,N/A,N/A,41,83.90%,N/A,34.00%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.0%,96.6%,2.0%,N/A,Eastern Standard Time,85,38,47,45,119,198,27,N/A,N/A,N/A,70,351,3.8,27.35,PA-82728
West Donegal,Pennsylvania,8645,548,Lancaster,546192,$61204,28.24%,N/A,N/A,N/A,N/A,32,67.60%,N/A,39.40%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.3%,1.6%,96.6%,1.5%,N/A,Eastern Standard Time,85,37,48,42,121,198,23,N/A,N/A,7,65,351,3.8,15.78,PA-82816
West Earl,Pennsylvania,8193,462,Lancaster,546192,$52325,21.50%,N/A,N/A,N/A,N/A,36,75.20%,N/A,40.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.9%,1.6%,91.3%,5.1%,N/A,Eastern Standard Time,85,38,47,43,124,198,25,N/A,N/A,N/A,68,351,3.8,17.73,PA-82824
West Hempfield,Pennsylvania,16426,890,Lancaster,546192,$70816,28.50%,N/A,N/A,N/A,N/A,34,76.30%,N/A,36.20%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.2%,2.1%,87.9%,7.6%,N/A,Eastern Standard Time,85,38,47,43,121,198,20,N/A,N/A,N/A,61,351,3.8,18.46,PA-83152
West Lampeter,Pennsylvania,15791,963,Lancaster,546192,$66883,37.86%,N/A,N/A,N/A,N/A,31,65.70%,N/A,33.50%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.7%,0.6%,92.9%,5.1%,N/A,Eastern Standard Time,85,38,47,43,122,198,20,N/A,N/A,7,61,351,3.8,16.4,PA-83256
Willow Street,Pennsylvania,8953,1640,Lancaster,546192,$86667,42.43%,56,$335000,2120,$158,35,53.46%,$1878,32.90%,N/A,N/A,7.86%,2.25%,45.47%,Lancaster County,37.20%,56.30%,4.17%,0.04%,86.65%,8.04%,4.66%,Eastern Standard Time,85,38,47,43,122,198,20,61.3,42.3,7,63,351,3.8,5.46,PA-85464
Witmer,Pennsylvania,159,128,Lancaster,546192,$79500,7.08%,55,N/A,N/A,N/A,49,70.75%,$1310,47.60%,N/A,N/A,15.72%,0.0%,49.66%,Lancaster County,37.20%,56.30%,0.0%,3.77%,96.23%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,122,198,20,61.3,42.3,7,58,351,3.8,1.24,PA-85968
