City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation
Paxtang,Pennsylvania,1726,4210,Harrisburg-Carlisle,581943,$72545,33.69%,35,$225000,1860,$121,78,71.15%,$944,46.01%,N/A,N/A,14.9%,5.56%,71.23%,Dauphin County,49.10%,46.20%,10.02%,20.8%,58.46%,11.12%,12.86%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,7.2,52,351,4.1,0.41,PA-58504,40.2623478,-76.8342408,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Paxtonia,Pennsylvania,5075,2197,Harrisburg-Carlisle,581943,$78556,35.44%,44,$315000,1667,$189,43,77.98%,$1099,46.2%,N/A,N/A,2.29%,2.53%,65.24%,Dauphin County,49.10%,46.20%,4.14%,12.51%,71.57%,3.98%,4.49%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,51,351,4.1,2.31,PA-58528,40.3166207,-76.788479,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Penbrook,Pennsylvania,2973,6607,Harrisburg-Carlisle,581943,$50347,34.65%,29,$207000,2724,$76,78,61.53%,$748,65.02%,N/A,N/A,9.93%,4.26%,73.75%,Dauphin County,49.10%,46.20%,0.0%,45.44%,40.13%,22.03%,5.99%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,47,351,4.1,0.45,PA-58712,40.2780092,-76.8483291,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Pillow,Pennsylvania,297,606,Harrisburg-Carlisle,581943,$52188,7.41%,40,N/A,N/A,N/A,78,91.25%,$650,40.09%,N/A,N/A,4.1%,0.0%,60.34%,Dauphin County,49.10%,46.20%,0.0%,9.09%,88.89%,2.02%,1.68%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,78,351,4.1,0.49,PA-60264,40.6405431,-76.8029088,50%,62%,42%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,37.37%,38.68%,37.67%
Progress,Pennsylvania,10997,3641,Harrisburg-Carlisle,581943,$61563,32.13%,38,$213000,1732,$123,60,58.21%,$957,54.47%,N/A,N/A,11.88%,2.45%,70.32%,Dauphin County,49.10%,46.20%,13.19%,30.41%,44.1%,8.78%,16.27%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,49,351,4.1,3.02,PA-62736,40.2900619,-76.8393764,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Reed,Pennsylvania,201,34,Harrisburg-Carlisle,581943,$62813,20.99%,N/A,N/A,N/A,N/A,50,73.80%,N/A,44.00%,N/A,N/A,N/A,4.30%,N/A,Dauphin County,49.10%,46.20%,0.0%,0.0%,88.6%,0.0%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,6.5,73,351,4.1,5.91,PA-63928,40.4123276,-76.9901059,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Royalton,Pennsylvania,1149,3591,Harrisburg-Carlisle,581943,$62917,20.53%,40,N/A,N/A,N/A,62,70.58%,$879,38.72%,N/A,N/A,7.83%,2.86%,66.74%,Dauphin County,49.10%,46.20%,0.0%,9.75%,83.55%,2.35%,3.74%,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,7.2,60,351,4.1,0.32,PA-66560,40.1874336,-76.7269486,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.64%,37.25%,36.67%
Rush township (Dauphin Cnty),Pennsylvania,310,13,Harrisburg-Carlisle,581943,$65250,N/A,N/A,N/A,N/A,N/A,49,75.00%,N/A,36.10%,N/A,N/A,N/A,4.30%,N/A,Dauphin County,49.10%,46.20%,0.0%,0.6%,99.4%,0.0%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,120,N/A,6.5,70,351,4.1,23.85,PA-66744,40.503907,-76.6566792,50%,62%,42%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,31.4%,33.96%,29.67%
Rutherford,Pennsylvania,5568,4490,Harrisburg-Carlisle,581943,$68146,31.31%,38,$240000,1481,$162,41,71.63%,$997,51.1%,N/A,N/A,6.93%,3.13%,70.31%,Dauphin County,49.10%,46.20%,11.66%,23.83%,54.89%,9.5%,11.39%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,7.2,48,351,4.1,1.24,PA-66864,40.2695872,-76.7678188,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.64%,37.25%,36.67%
Skyline View,Pennsylvania,4365,1635,Harrisburg-Carlisle,581943,$101875,33.73%,59,$328000,2523,$130,20,99.15%,$1229,23.15%,N/A,N/A,1.42%,1.53%,59.03%,Dauphin County,49.10%,46.20%,0.55%,0.0%,95.23%,1.26%,0.73%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,61,351,4.1,2.67,PA-71032,40.3376217,-76.7255579,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
